subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,0,Krieg,negative,200,right,Herr,-200,left,-200,left,1,cross,None,x,True,0.535811901093
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,1,Erfolg,positive,-200,right,Hut,200,right,-200,left,1,cross,None,x,True,0.483906984329
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,2,Totschlag,negative,200,right,Garten,-200,left,200,right,1,cross,None,m,True,0.373453855515
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,3,Wunde,negative,-200,right,Bank,200,right,-200,left,1,cross,None,x,True,0.322066068649
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,4,Harmonie,positive,200,right,Supermarkt,-200,left,-200,left,1,cross,None,x,True,0.576069116592
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,5,Depression,negative,200,right,Pullover,-200,left,200,right,0.04,cross,None,m,True,0.570764064789
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,6,Mord,negative,-200,right,Fernseher,200,right,200,right,1,cross,None,m,True,0.470816135406
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,7,Schock,negative,200,right,Dose,-200,left,200,right,1,cross,None,m,True,0.519187927246
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,8,Ekel,negative,200,right,Finger,-200,left,200,right,0.04,cross,None,m,True,0.833794116974
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,9,Panik,negative,-200,right,Apfel,200,right,-200,left,0.04,cross,None,x,True,0.397910118103
AN,22,weiblich,Hufflepuff,das,Der Pate,38,0,10,Trennung,negative,200,right,Keller,-200,left,200,right,1,cross,None,m,True,0.529572963715
