subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
AS,22,männlich,Gryffindor,das,Der Pate,38,0,0,Bereicherung,positive,-200,right,Zeiger,200,right,-200,left,1,cross,None,x,True,0.486207962036
AS,22,männlich,Gryffindor,das,Der Pate,38,0,1,Müll,negative,-200,right,Anzug,200,right,-200,left,0.04,cross,None,x,True,0.655388832092
AS,22,männlich,Gryffindor,das,Der Pate,38,0,2,Kostbarkeit,positive,-200,right,Füller,200,right,-200,left,0.04,cross,None,x,True,0.578408956528
AS,22,männlich,Gryffindor,das,Der Pate,38,0,3,Feind,negative,200,right,Apfel,-200,left,200,right,1,cross,None,m,True,0.512787103653
AS,22,männlich,Gryffindor,das,Der Pate,38,0,4,Wohlstand,positive,-200,right,Finger,200,right,200,right,0.04,cross,None,m,True,0.571825027466
AS,22,männlich,Gryffindor,das,Der Pate,38,0,5,Gesundheit,positive,-200,right,Projektor,200,right,-200,left,1,cross,None,x,True,0.387979030609
AS,22,männlich,Gryffindor,das,Der Pate,38,0,6,Dummheit,negative,-200,right,Wind,200,right,-200,left,0.04,cross,None,x,True,0.366054058075
AS,22,männlich,Gryffindor,das,Der Pate,38,0,7,Anschlag,negative,200,right,Strumpf,-200,left,200,right,1,cross,None,m,True,0.325329065323
AS,22,männlich,Gryffindor,das,Der Pate,38,0,8,Schrott,negative,-200,right,Dienstag,200,right,-200,left,0.04,cross,None,x,True,0.35547709465
AS,22,männlich,Gryffindor,das,Der Pate,38,0,9,Rücksichtnahme,positive,200,right,Apfelsine,-200,left,200,right,0.04,cross,None,m,True,0.411461114883
AS,22,männlich,Gryffindor,das,Der Pate,38,0,10,Stärke,positive,200,right,Fußboden,-200,left,-200,left,0.04,cross,None,x,True,0.449037075043
AS,22,männlich,Gryffindor,das,Der Pate,38,0,11,Terror,negative,200,right,Supermarkt,-200,left,200,right,1,cross,None,m,True,0.289067983627
AS,22,männlich,Gryffindor,das,Der Pate,38,0,12,Treue,positive,-200,right,Geburtstag,200,right,200,right,1,cross,None,m,True,0.307241916656
