subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,0,Hass,negative,200,right,Fußboden,-200,left,200,right,1,cross,None,m,True,0.445538043976
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,1,Unfall,negative,-200,right,Ausweis,200,right,200,right,1,cross,None,m,True,0.461834192276
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,2,Tod,negative,-200,right,Mai,200,right,200,right,0.04,cross,None,m,True,0.527668952942
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,3,Geisel,negative,200,right,Supermarkt,-200,left,-200,left,1,cross,None,x,True,0.471359014511
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,4,Attraktivität,positive,200,right,Pullover,-200,left,-200,left,0.04,cross,None,x,True,0.403427124023
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,5,Höflichkeit,positive,-200,right,Apfel,200,right,200,right,1,cross,None,m,True,0.37881398201
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,6,Anerkennung,positive,-200,right,Balkon,200,right,200,right,1,cross,None,m,True,0.39750790596
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,7,Hässlichkeit,negative,200,right,Bank,-200,left,200,right,0.04,cross,None,m,True,0.603255033493
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,8,Qual,negative,-200,right,Marktplatz,200,right,200,right,0.04,cross,None,m,True,0.398568868637
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,9,Verletzung,negative,200,right,Bibliothek,-200,left,-200,left,0.04,cross,None,miss,False,-999
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,10,Erfolg,positive,200,right,Löffel,-200,left,200,right,0.04,cross,None,miss,False,-999
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,11,Heimweh,negative,200,right,November,-200,left,-200,left,0.04,cross,None,miss,False,-999
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,12,Freiheit,positive,-200,right,Geburtstag,200,right,-200,left,1,cross,None,x,True,0.960775136948
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,13,Wunde,negative,200,right,Juni,-200,left,200,right,0.04,cross,None,m,True,0.381438970566
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,14,Totschlag,negative,200,right,Herr,-200,left,-200,left,0.04,cross,None,x,True,0.375689029694
FloMat,26,männlich,Hufflepuff,das,Pulp Fiction,39,0,15,Wohlstand,positive,-200,right,Brücke,200,right,-200,left,0.04,cross,None,x,True,0.386599779129
