subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,0,Schönheit,positive,200,right,Dezember,-200,left,-200,left,0.04,cross,None,x,True,0.419406918809
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,1,Folter,negative,200,right,Brille,-200,left,200,right,0.04,cross,None,m,True,0.360871248879
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,2,Dankbarkeit,positive,200,right,Juni,-200,left,200,right,0.04,cross,None,m,True,0.416027422063
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,3,Wohlstand,positive,-200,right,Dose,200,right,200,right,0.04,cross,None,m,True,0.297691289335
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,4,Herzlichkeit,positive,200,right,Kleiderhaken,-200,left,200,right,1,cross,None,m,True,0.325039808638
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,5,Beliebtheit,positive,200,right,Septmeber,-200,left,200,right,0.04,cross,None,m,True,0.393762964755
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,6,Vergnügen,positive,200,right,Zeiger,-200,left,200,right,1,cross,None,m,True,0.293014599942
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,7,Ekel,negative,200,right,Computer,-200,left,200,right,1,cross,None,m,True,0.428985914215
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,8,Kraft,positive,-200,right,Fernseher,200,right,200,right,0.04,cross,None,m,True,0.411078096367
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,9,Trauer,negative,-200,right,Pullover,200,right,-200,left,1,cross,None,x,True,0.377662840299
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,10,Krieg,negative,200,right,Apfel,-200,left,-200,left,1,cross,None,x,True,0.404484264553
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,11,Höflichkeit,positive,-200,right,Fuß,200,right,-200,left,0.04,cross,None,x,True,0.443136890419
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,12,Schatz,positive,-200,right,Bankkarte,200,right,200,right,1,cross,None,m,True,0.277078451589
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,13,Rücksichtnahme,positive,-200,right,Fahrschein,200,right,200,right,1,cross,None,m,True,0.337477526627
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,14,Geisel,negative,200,right,März,-200,left,200,right,0.04,cross,None,m,True,0.394782384858
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,15,Übelkeit,negative,-200,right,Brücke,200,right,-200,left,1,cross,None,x,True,0.312560996972
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,16,Erfolg,positive,200,right,Gast,-200,left,-200,left,1,cross,None,x,True,0.445645138621
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,17,Trennung,negative,200,right,Bibliothek,-200,left,-200,left,0.04,cross,None,x,True,0.479385581799
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,18,Verzweiflung,negative,200,right,August,-200,left,-200,left,0.04,cross,None,x,True,0.363550980575
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,19,Ehrlichkeit,positive,200,right,Rock,-200,left,200,right,0.04,cross,None,m,True,0.378276468255
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,20,Schrei,negative,-200,right,Eintrittskarte,200,right,200,right,1,cross,None,x,False,0.310437600128
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,21,Hässlichkeit,negative,200,right,Oktober,-200,left,-200,left,1,cross,None,x,True,0.356397652999
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,22,Panik,negative,200,right,Baum,-200,left,200,right,0.04,cross,None,m,True,0.404972242191
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,23,Neid,negative,-200,right,Hafen,200,right,-200,left,0.04,cross,None,x,True,0.349395656958
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,0,24,Wohlbefinden,positive,-200,right,Kaffee,200,right,-200,left,0.04,cross,None,x,True,0.474967698567
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,0,Leid,negative,200,right,Februar,-200,left,-200,left,1,hole,right,x,True,0.330467234366
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,1,Hilfsbereitschaft,positive,200,right,Cola,-200,left,-200,left,0.04,hole,right,x,True,0.322981212288
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,2,Verehrung,positive,200,right,Marktplatz,-200,left,-200,left,1,hole,left,x,True,0.34944899939
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,3,Treue,positive,200,right,Platz,-200,left,200,right,1,hole,right,m,True,0.344165794551
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,4,Sicherheit,positive,-200,right,Kellner,200,right,200,right,0.04,hole,left,m,True,0.311868344434
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,5,Geschenk,positive,200,right,Zuschauer,-200,left,-200,left,1,hole,left,x,True,0.331514313817
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,6,Spaß,positive,-200,right,Diskette,200,right,200,right,1,hole,right,m,True,0.289780508727
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,7,Schrott,negative,-200,right,Fußboden,200,right,200,right,1,hole,right,m,True,0.319312484004
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,8,Koma,negative,200,right,Drucker,-200,left,200,right,0.04,hole,left,m,True,0.373990556225
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,9,Gefängnis,negative,200,right,Bank,-200,left,-200,left,1,hole,left,x,True,0.276377501898
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,10,Freundschaft,positive,-200,right,Einwohner,200,right,200,right,1,hole,left,m,True,0.480759033933
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,11,Unfall,negative,-200,right,Pass,200,right,-200,left,0.04,hole,right,x,True,0.34449058678
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,12,Verletzung,negative,-200,right,Ausweis,200,right,200,right,1,hole,left,m,True,0.284018412232
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,13,Mord,negative,200,right,RadiergummI,-200,left,200,right,1,hole,right,m,True,0.610325384885
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,14,Gestank,negative,200,right,Schlüssel,-200,left,-200,left,0.04,hole,right,x,True,0.453037517145
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,15,Liebe,positive,200,right,Zucker,-200,left,200,right,1,hole,left,m,True,0.317121915519
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,16,Leidenschaft,positive,200,right,Bestellung,-200,left,200,right,0.04,hole,left,m,True,0.398919730447
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,17,Optimismus,positive,-200,right,Zug,200,right,-200,left,0.04,hole,right,x,True,0.405817413703
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,18,Wunde,negative,-200,right,Name,200,right,200,right,1,hole,right,m,True,0.279244127683
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,19,Bereicherung,positive,200,right,Monitor,-200,left,-200,left,1,hole,right,x,True,0.295847640373
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,20,Reichtum,positive,200,right,Stuhl,-200,left,200,right,1,hole,right,m,True,0.273870044388
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,21,Entspannung,positive,-200,right,Löffel,200,right,200,right,0.04,hole,right,m,True,0.40060058888
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,22,Eleganz,positive,200,right,Koch,-200,left,-200,left,0.04,hole,right,x,True,0.350059071556
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,23,Zuverlässigkeit,positive,200,right,Teppich,-200,left,-200,left,0.04,hole,left,x,True,0.390328151174
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,1,24,Harmonie,positive,200,right,Beschreibung,-200,left,-200,left,0.04,hole,left,x,True,0.394431514665
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,0,Feind,negative,200,right,Anzug,-200,left,-200,left,0.04,cross,None,x,True,0.413566588424
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,1,Lebensfreude,positive,200,right,Schinken,-200,left,200,right,0.04,cross,None,m,True,0.384432108141
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,2,Müll,negative,-200,right,Sessel,200,right,200,right,0.04,cross,None,m,True,0.431414347142
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,3,Depression,negative,200,right,Keller,-200,left,200,right,1,cross,None,m,True,0.345731670968
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,4,Freiheit,positive,-200,right,Projektor,200,right,200,right,1,cross,None,m,True,0.309724795632
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,5,Schock,negative,200,right,Apfelsine,-200,left,200,right,0.04,cross,None,m,True,0.363262144849
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,6,Krankheit,negative,-200,right,Strumpf,200,right,-200,left,0.04,cross,None,x,True,0.378029120155
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,7,Anschlag,negative,200,right,Dusche,-200,left,-200,left,1,cross,None,x,True,0.418722958304
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,8,Totschlag,negative,200,right,Schrank,-200,left,-200,left,1,cross,None,x,True,0.376571507193
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,9,Sucht,negative,-200,right,Tag,200,right,-200,left,1,cross,None,x,True,0.344435663894
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,10,Solidarität,positive,200,right,Garten,-200,left,-200,left,0.04,cross,None,x,True,0.453159610741
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,11,Stärke,positive,-200,right,Bus,200,right,200,right,1,cross,None,m,True,0.446220044978
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,12,Mut,positive,200,right,Balkon,-200,left,-200,left,1,cross,None,x,True,0.404894008301
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,13,Rache,negative,200,right,Dienstag,-200,left,-200,left,1,cross,None,x,True,0.440165161155
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,14,Unterstützung,positive,200,right,Flur,-200,left,-200,left,1,cross,None,x,True,0.290336052887
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,15,Anerkennung,positive,200,right,Dolmetscherin,-200,left,-200,left,0.04,cross,None,x,True,0.407794219442
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,16,Terror,negative,-200,right,Passant,200,right,200,right,0.04,cross,None,m,True,0.394508564845
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,17,Glück,positive,200,right,Anruf,-200,left,200,right,0.04,cross,None,m,True,0.399851038121
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,18,Schleim,negative,200,right,Park,-200,left,-200,left,0.04,cross,None,x,True,0.352085663006
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,19,Kostbarkeit,positive,200,right,Füller,-200,left,200,right,0.04,cross,None,m,True,0.338295829482
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,20,Droge,negative,200,right,April,-200,left,-200,left,1,cross,None,x,True,0.334138332866
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,21,Dummheit,negative,-200,right,Flughafen,200,right,-200,left,0.04,cross,None,x,True,0.364058715291
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,22,Zufriedenheit,positive,200,right,Berg,-200,left,-200,left,0.04,cross,None,x,True,0.360583598725
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,23,Angst,negative,-200,right,Tisch,200,right,-200,left,0.04,cross,None,x,True,0.415710532106
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,2,24,Tapferkeit,positive,-200,right,Bahnhof,200,right,-200,left,0.04,cross,None,x,True,0.388898986392
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,0,Schmerz,negative,200,right,Geburtstag,-200,left,-200,left,1,hole,right,x,True,0.575450935401
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,1,Sympathie,positive,-200,right,Finger,200,right,-200,left,0.04,hole,left,x,True,0.341641345993
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,2,Einsamkeit,negative,-200,right,Wind,200,right,-200,left,0.04,hole,left,x,True,0.376089850441
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,3,Gerechtigkeit,positive,-200,right,Januar,200,right,-200,left,1,hole,left,x,True,0.35701365117
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,4,Qual,negative,200,right,Bildschirm,-200,left,-200,left,0.04,hole,right,x,True,0.364346366376
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,5,Horror,negative,200,right,Wagen,-200,left,-200,left,1,hole,right,x,True,0.402953158133
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,6,Frohsinn,positive,-200,right,Supermarkt,200,right,200,right,1,hole,left,m,True,0.374555189162
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,7,Heimweh,negative,-200,right,Markt,200,right,200,right,0.04,hole,right,m,True,0.359020091593
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,8,Hass,negative,200,right,Laden,-200,left,200,right,1,hole,right,m,True,0.359049726278
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,9,Genuss,positive,200,right,Tee,-200,left,200,right,1,hole,left,m,True,0.354721141048
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,10,Waffe,negative,-200,right,Bluse,200,right,200,right,1,hole,left,m,True,0.353251279332
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,11,Gesundheit,positive,-200,right,Mai,200,right,-200,left,0.04,hole,left,x,True,0.431536044925
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,12,Belohnung,positive,-200,right,Eile,200,right,-200,left,0.04,hole,left,x,True,0.453421181999
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,13,Pessimismus,negative,200,right,Kakao,-200,left,-200,left,1,hole,right,x,True,0.31634391658
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,14,Bewunderung,positive,200,right,Apotheke,-200,left,-200,left,0.04,hole,right,x,True,0.353662998416
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,15,Unglück,negative,-200,right,Bedienung,200,right,200,right,0.04,hole,left,m,True,0.369243930094
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,16,Lachen,positive,200,right,Kugelschrieber,-200,left,-200,left,1,hole,right,x,True,0.337699192576
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,17,Frieden,positive,200,right,Decke,-200,left,-200,left,0.04,hole,left,x,True,0.394060097635
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,18,Regen,negative,200,right,Adresse,-200,left,-200,left,1,hole,right,x,True,0.383515419438
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,19,Attraktivität,positive,-200,right,Herr,200,right,200,right,0.04,hole,left,m,True,0.370083963498
Mia Wallace,28,weiblich,Hufflepuff,die,Pulp Fiction,36,3,20,Sturz,negative,-200,right,Locher,200,right,-200,left,1,hole,right,x,True,0.380993736908
