subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,0,Krieg,negative,200,right,Supermarkt,-200,left,-200,left,1,cross,None,x,True,0.378569841385
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,1,Schock,negative,200,right,Beschreibung,-200,left,-200,left,1,cross,None,m,False,0.41383600235
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,2,Freiheit,positive,-200,right,Oktober,200,right,-200,left,0.04,cross,None,x,True,0.412367105484
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,3,Müll,negative,200,right,Apotheke,-200,left,200,right,0.04,cross,None,m,True,0.39753484726
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,4,Schatz,positive,-200,right,Zug,200,right,200,right,0.04,cross,None,m,True,0.360673904419
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,5,Genuss,positive,-200,right,Wind,200,right,-200,left,1,cross,None,x,True,0.30762386322
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,6,Liebe,positive,200,right,Bahnhof,-200,left,200,right,0.04,cross,None,m,True,0.382308959961
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,7,Schrott,negative,-200,right,Sessel,200,right,200,right,1,cross,None,m,True,0.349848031998
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,8,Dankbarkeit,positive,200,right,Februar,-200,left,-200,left,0.04,cross,None,x,True,0.437690973282
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,9,Heimweh,negative,200,right,Bluse,-200,left,200,right,0.04,cross,None,m,True,0.427284002304
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,10,Gerechtigkeit,positive,200,right,Bibliothek,-200,left,-200,left,0.04,cross,None,x,True,0.346396923065
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,11,Optimismus,positive,200,right,März,-200,left,-200,left,0.04,cross,None,x,True,0.315129995346
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,12,Terror,negative,200,right,Hut,-200,left,200,right,0.04,cross,None,x,False,0.915958881378
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,13,Spaß,positive,-200,right,Adresse,200,right,-200,left,0.04,cross,None,x,True,0.339317083359
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,14,Sympathie,positive,200,right,Stuhl,-200,left,-200,left,0.04,cross,None,x,True,0.346945047379
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,15,Krankheit,negative,200,right,Einwohner,-200,left,-200,left,0.04,cross,None,x,True,0.527346849442
NF,18,männlich,Ravenclaw,das,Pulp Fiction,40,0,16,Schrei,negative,-200,right,Platz,200,right,200,right,0.04,cross,None,m,True,0.345314025879
