subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,0,Schock,negative,-200,right,Monitor,200,right,200,right,0.04,cross,None,m,True,0.37548768241
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,1,Frohsinn,positive,-200,right,Oktober,200,right,-200,left,0.04,cross,None,x,True,0.397172491997
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,2,Feind,negative,-200,right,Anruf,200,right,-200,left,1,cross,None,m,False,0.277654147707
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,3,Leid,negative,200,right,Septmeber,-200,left,200,right,0.04,cross,None,m,True,0.349010806531
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,4,Qual,negative,200,right,Kleiderhaken,-200,left,200,right,0.04,cross,None,m,True,0.369899440557
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,5,Pessimismus,negative,200,right,Bedienung,-200,left,200,right,0.04,cross,None,m,True,0.471615860239
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,6,Wunde,negative,-200,right,Kakao,200,right,-200,left,0.04,cross,None,x,True,0.381886717863
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,7,Totschlag,negative,200,right,Markt,-200,left,200,right,0.04,cross,None,m,True,0.393175020814
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,8,Gerechtigkeit,positive,-200,right,Beschreibung,200,right,200,right,0.04,cross,None,m,True,0.398530533537
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,9,Reichtum,positive,200,right,Juni,-200,left,200,right,0.04,cross,None,x,False,0.247194420546
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,10,Dummheit,negative,200,right,Tisch,-200,left,200,right,0.04,cross,None,m,True,0.366562617943
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,11,Vergnügen,positive,-200,right,Kaffee,200,right,-200,left,0.04,cross,None,x,True,0.486523499712
TTTT,27,männlich,Hufflepuff,die,Der Pate,38,0,12,Unterstützung,positive,-200,right,Apotheke,200,right,-200,left,1,cross,None,x,True,0.442965406924
