subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,0,Hässlichkeit,negative,-200,right,Dolmetscherin,200,right,200,right,1,cross,None,m,True,0.69909787178
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,1,Horror,negative,-200,right,Monitor,200,right,-200,left,0.04,cross,None,x,True,0.459187030792
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,2,Koma,negative,200,right,Zeiger,-200,left,-200,left,1,cross,None,x,True,0.339237928391
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,3,Krieg,negative,200,right,Fuß,-200,left,200,right,0.04,cross,None,m,True,0.461540937424
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,4,Glück,positive,200,right,Beschreibung,-200,left,-200,left,0.04,cross,None,x,True,0.578354120255
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,5,Hass,negative,200,right,Kellner,-200,left,200,right,1,cross,None,m,True,0.388697147369
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,6,Schrott,negative,-200,right,Zucker,200,right,-200,left,0.04,cross,None,x,True,1.00993299484
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,7,Droge,negative,-200,right,Adresse,200,right,200,right,0.04,cross,None,m,True,0.606996059418
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,8,Trauer,negative,-200,right,Dienstag,200,right,-200,left,1,cross,None,x,True,0.623168945312
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,9,Regen,negative,-200,right,Einwohner,200,right,200,right,0.04,cross,None,x,False,0.774178028107
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,10,Terror,negative,200,right,Kugelschrieber,-200,left,200,right,0.04,cross,None,m,True,1.14012694359
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,11,Trennung,negative,-200,right,Park,200,right,-200,left,0.04,cross,None,x,True,0.481228113174
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,12,Gesundheit,positive,200,right,Wind,-200,left,200,right,1,cross,None,m,True,0.661530017853
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,13,Depression,negative,-200,right,Flur,200,right,-200,left,0.04,cross,None,x,True,0.434148073196
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,14,Schrei,negative,-200,right,Stuhl,200,right,-200,left,0.04,cross,None,x,True,0.360271215439
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,15,Einsamkeit,negative,200,right,Passant,-200,left,200,right,0.04,cross,None,m,True,0.913009881973
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,16,Liebe,positive,200,right,Tag,-200,left,-200,left,0.04,cross,None,x,True,0.437213182449
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,17,Bombe,negative,-200,right,Eintrittskarte,200,right,-200,left,1,cross,None,m,False,0.581252098083
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,18,Armut,negative,200,right,Diskette,-200,left,-200,left,0.04,cross,None,x,True,0.47416806221
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,19,Unglück,negative,200,right,Bus,-200,left,200,right,1,cross,None,m,True,0.422011852264
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,20,Vergnügen,positive,-200,right,Anzug,200,right,200,right,0.04,cross,None,m,True,0.414951086044
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,21,Angst,negative,200,right,Dose,-200,left,-200,left,0.04,cross,None,x,True,0.314661979675
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,22,Wohlstand,positive,200,right,Bedienung,-200,left,200,right,1,cross,None,m,True,0.367033958435
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,23,Freundschaft,positive,-200,right,Locher,200,right,-200,left,1,cross,None,x,True,0.31348490715
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,0,24,Zufriedenheit,positive,-200,right,Zuschauer,200,right,200,right,0.04,cross,None,m,True,0.391654968262
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,0,Geisel,negative,200,right,Apfel,-200,left,200,right,0.04,hole,left,m,True,0.40235209465
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,1,Wut,negative,-200,right,Garten,200,right,-200,left,1,hole,left,x,True,0.369710922241
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,2,Verletzung,negative,-200,right,Platz,200,right,200,right,0.04,hole,left,m,True,0.361768960953
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,3,Gestank,negative,-200,right,Dezember,200,right,-200,left,0.04,hole,right,x,True,0.354022026062
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,4,Kraft,positive,-200,right,Keller,200,right,-200,left,0.04,hole,right,m,False,0.347264051437
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,5,Leid,negative,200,right,Marktplatz,-200,left,200,right,0.04,hole,left,m,True,0.93785905838
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,6,Totschlag,negative,-200,right,Kaffee,200,right,-200,left,0.04,hole,left,x,True,0.345014810562
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,7,Müll,negative,200,right,Berg,-200,left,200,right,1,hole,left,m,True,0.915339946747
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,8,Anschlag,negative,200,right,Geburtstag,-200,left,200,right,0.04,hole,left,m,True,0.471743106842
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,9,Treue,positive,-200,right,August,200,right,-200,left,1,hole,right,x,True,0.693280935287
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,10,Unfall,negative,-200,right,Pass,200,right,-200,left,0.04,hole,right,x,True,0.584379911423
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,11,Panik,negative,-200,right,Schrank,200,right,-200,left,1,hole,right,x,True,0.377696990967
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,12,Dummheit,negative,-200,right,Füller,200,right,-200,left,0.04,hole,right,x,True,0.626433849335
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,13,Zuverlässigkeit,positive,200,right,Mai,-200,left,200,right,0.04,hole,right,m,True,0.428242921829
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,14,Neid,negative,200,right,Brille,-200,left,-200,left,1,hole,right,x,True,0.371016979218
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,15,Ekel,negative,-200,right,Apfelsine,200,right,-200,left,0.04,hole,right,x,True,0.441655874252
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,16,Verzweiflung,negative,200,right,Koch,-200,left,200,right,1,hole,right,x,False,0.435203075409
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,17,Ehrlichkeit,positive,200,right,Pullover,-200,left,200,right,0.04,hole,right,m,True,0.40118598938
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,18,Lebensfreude,positive,200,right,Fußboden,-200,left,-200,left,0.04,hole,right,x,True,0.408159971237
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,19,Übelkeit,negative,200,right,Hut,-200,left,200,right,0.04,hole,left,m,True,0.352272987366
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,20,Krankheit,negative,200,right,Eile,-200,left,200,right,0.04,hole,left,m,True,0.480631828308
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,21,Solidarität,positive,200,right,Septmeber,-200,left,-200,left,1,hole,left,x,True,0.446628093719
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,22,Stärke,positive,-200,right,Wagen,200,right,-200,left,1,hole,right,x,True,0.367415904999
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,23,Reichtum,positive,-200,right,Anruf,200,right,-200,left,1,hole,left,x,True,0.375428199768
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,1,24,Schmerz,negative,200,right,Januar,-200,left,200,right,1,hole,right,m,True,0.378998041153
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,0,Heimweh,negative,200,right,Name,-200,left,200,right,0.04,cross,None,m,True,0.465078115463
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,1,Mord,negative,200,right,Strumpf,-200,left,-200,left,1,cross,None,x,True,0.347452878952
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,2,Harmonie,positive,200,right,Brücke,-200,left,200,right,1,cross,None,m,True,0.286824941635
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,3,Höflichkeit,positive,200,right,Kunde,-200,left,200,right,0.04,cross,None,m,True,0.368983030319
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,4,Bereicherung,positive,200,right,März,-200,left,-200,left,0.04,cross,None,x,True,0.557262182236
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,5,Schönheit,positive,-200,right,Supermarkt,200,right,-200,left,1,cross,None,x,True,0.387810945511
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,6,Feind,negative,-200,right,Zug,200,right,200,right,1,cross,None,m,True,0.262048006058
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,7,Belohnung,positive,-200,right,Teppich,200,right,200,right,1,cross,None,m,True,0.583498001099
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,8,Schleim,negative,-200,right,Juli,200,right,-200,left,1,cross,None,x,True,0.278586864471
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,9,Sturz,negative,200,right,Rock,-200,left,200,right,1,cross,None,m,True,0.252435922623
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,10,Gefängnis,negative,200,right,Kakao,-200,left,-200,left,0.04,cross,None,x,True,0.80096912384
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,11,Schock,negative,-200,right,Ausweis,200,right,200,right,1,cross,None,m,True,0.344636917114
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,12,Hilfsbereitschaft,positive,-200,right,Sessel,200,right,200,right,0.04,cross,None,m,True,0.50362610817
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,13,Wunde,negative,200,right,Dusche,-200,left,200,right,1,cross,None,m,True,0.350328922272
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,14,Qual,negative,200,right,Februar,-200,left,-200,left,1,cross,None,x,True,0.358335971832
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,15,Geschenk,positive,200,right,Schinken,-200,left,200,right,0.04,cross,None,m,True,0.434991121292
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,16,Herzlichkeit,positive,-200,right,Juni,200,right,-200,left,0.04,cross,None,x,True,0.370293140411
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,17,Pessimismus,negative,200,right,Laden,-200,left,-200,left,0.04,cross,None,x,True,0.348340988159
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,18,Tod,negative,-200,right,Apotheke,200,right,200,right,1,cross,None,m,True,0.336688995361
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,19,Leidenschaft,positive,-200,right,Schlüssel,200,right,200,right,0.04,cross,None,m,True,0.397213935852
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,20,Frohsinn,positive,200,right,Markt,-200,left,-200,left,1,cross,None,x,True,0.3335750103
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,21,Sympathie,positive,-200,right,Drucker,200,right,200,right,1,cross,None,m,True,0.388070106506
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,22,Genuss,positive,-200,right,April,200,right,-200,left,1,cross,None,x,True,0.377992868423
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,23,Waffe,negative,-200,right,Bahnhof,200,right,200,right,0.04,cross,None,m,True,1.5830039978
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,2,24,Dankbarkeit,positive,200,right,Balkon,-200,left,-200,left,0.04,cross,None,x,True,0.333618879318
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,0,Folter,negative,-200,right,Gast,200,right,-200,left,0.04,hole,left,miss,False,-999
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,1,Sucht,negative,-200,right,Baum,200,right,200,right,1,hole,left,m,True,0.366216182709
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,2,Rache,negative,-200,right,Kleiderhaken,200,right,200,right,0.04,hole,left,m,True,0.864720106125
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,3,Spaß,positive,-200,right,Bankkarte,200,right,-200,left,0.04,hole,right,m,False,0.486308097839
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,4,Optimismus,positive,-200,right,Tee,200,right,-200,left,0.04,hole,right,x,True,0.570045948029
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,5,Entspannung,positive,-200,right,November,200,right,-200,left,0.04,hole,left,x,True,0.412503004074
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,6,Frieden,positive,-200,right,Bibliothek,200,right,200,right,1,hole,right,m,True,0.718874931335
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,7,Unterstützung,positive,200,right,Bluse,-200,left,200,right,0.04,hole,right,m,True,0.412287950516
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,8,Tapferkeit,positive,200,right,Hafen,-200,left,200,right,0.04,hole,left,m,True,0.467710018158
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,9,Rücksichtnahme,positive,200,right,Bank,-200,left,200,right,1,hole,left,m,True,0.472717046738
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,10,Gerechtigkeit,positive,200,right,Decke,-200,left,200,right,1,hole,left,m,True,0.535187005997
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,11,Eleganz,positive,-200,right,Bestellung,200,right,200,right,1,hole,right,m,True,0.538424968719
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,12,Mut,positive,200,right,Fernseher,-200,left,-200,left,1,hole,right,x,True,0.691797018051
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,13,Sicherheit,positive,200,right,RadiergummI,-200,left,-200,left,1,hole,left,x,True,0.518728017807
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,14,Schatz,positive,200,right,Fahrschein,-200,left,200,right,1,hole,right,m,True,0.3702480793
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,15,Erfolg,positive,-200,right,Cola,200,right,200,right,0.04,hole,left,m,True,0.52956700325
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,16,Bewunderung,positive,200,right,Computer,-200,left,200,right,1,hole,right,m,True,0.431850194931
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,17,Verehrung,positive,200,right,Finger,-200,left,200,right,0.04,hole,right,m,True,0.565696001053
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,18,Anerkennung,positive,-200,right,Bildschirm,200,right,200,right,1,hole,left,m,True,0.31610417366
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,19,Beliebtheit,positive,-200,right,Projektor,200,right,-200,left,0.04,hole,right,x,True,0.491831064224
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,20,Kostbarkeit,positive,200,right,Oktober,-200,left,-200,left,1,hole,right,m,False,0.280679941177
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,21,Lachen,positive,200,right,Löffel,-200,left,-200,left,0.04,hole,left,x,True,0.327450037003
ToDe,31,weiblich,Ravenclaw,das,Der Pate,35,3,22,Freiheit,positive,-200,right,Herr,200,right,-200,left,0.04,hole,left,x,True,0.311836957932
