subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,0,Müll,negative,-200,right,Eintrittskarte,200,right,-200,left,0.04,cross,None,x,True,0.38844222296
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,1,Freundschaft,positive,200,right,Adresse,-200,left,-200,left,1,cross,None,x,True,0.346475690603
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,2,Attraktivität,positive,200,right,Bus,-200,left,200,right,1,cross,None,m,True,0.409292925149
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,3,Mord,negative,200,right,Kakao,-200,left,-200,left,1,cross,None,x,True,0.324325029738
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,4,Zufriedenheit,positive,200,right,Tag,-200,left,200,right,0.04,cross,None,m,True,0.455908489414
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,5,Harmonie,positive,200,right,Ausweis,-200,left,-200,left,0.04,cross,None,x,True,0.401437066495
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,6,Leid,negative,-200,right,November,200,right,-200,left,0.04,cross,None,x,True,0.411767983809
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,7,Schleim,negative,200,right,Wagen,-200,left,-200,left,1,cross,None,x,True,0.306547207758
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,8,Rache,negative,200,right,Cola,-200,left,-200,left,1,cross,None,x,True,0.377999882214
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,9,Depression,negative,-200,right,Juni,200,right,200,right,0.04,cross,None,m,True,0.421951913275
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,10,Verletzung,negative,200,right,Februar,-200,left,200,right,0.04,cross,None,x,False,0.394119367003
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,11,Schock,negative,-200,right,Anzug,200,right,200,right,1,cross,None,m,True,0.654064049944
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,12,Treue,positive,-200,right,Brille,200,right,200,right,0.04,cross,None,m,True,0.475633087568
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,13,Lebensfreude,positive,-200,right,Apotheke,200,right,200,right,1,cross,None,m,True,0.862822767347
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,14,Waffe,negative,-200,right,Fahrschein,200,right,200,right,0.04,cross,None,m,True,0.617546278983
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,15,Liebe,positive,-200,right,Kunde,200,right,-200,left,0.04,cross,None,x,True,0.490268881433
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,16,Panik,negative,-200,right,Stuhl,200,right,200,right,0.04,cross,None,m,True,0.480728213675
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,17,Totschlag,negative,200,right,Teppich,-200,left,200,right,1,cross,None,m,True,0.4109160956
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,18,Eleganz,positive,200,right,Septmeber,-200,left,200,right,1,cross,None,m,True,0.396630381234
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,19,Trauer,negative,-200,right,Januar,200,right,-200,left,1,cross,None,x,True,0.508570638485
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,20,Spaß,positive,200,right,Zeiger,-200,left,200,right,0.04,cross,None,m,True,0.50654957816
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,21,Droge,negative,-200,right,August,200,right,200,right,1,cross,None,m,True,0.331807495095
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,22,Leidenschaft,positive,200,right,März,-200,left,200,right,0.04,cross,None,m,True,0.436015962623
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,23,Trennung,negative,200,right,Zuschauer,-200,left,-200,left,1,cross,None,x,True,0.960811190307
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,0,24,Optimismus,positive,200,right,Supermarkt,-200,left,-200,left,0.04,cross,None,x,True,0.46558310464
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,0,Unterstützung,positive,200,right,Bestellung,-200,left,-200,left,0.04,hole,left,x,True,0.37032143306
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,1,Verzweiflung,negative,-200,right,Dezember,200,right,-200,left,1,hole,left,m,False,0.309298061766
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,2,Gesundheit,positive,-200,right,Baum,200,right,-200,left,1,hole,left,x,True,0.331752178259
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,3,Zuverlässigkeit,positive,200,right,Platz,-200,left,200,right,1,hole,right,m,True,0.350523341447
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,4,Herzlichkeit,positive,-200,right,Pass,200,right,-200,left,1,hole,left,x,True,0.396529624239
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,5,Dummheit,negative,-200,right,Mai,200,right,200,right,1,hole,right,m,True,0.439927692525
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,6,Unglück,negative,200,right,Hafen,-200,left,200,right,1,hole,left,m,True,0.39874390047
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,7,Glück,positive,200,right,Dienstag,-200,left,-200,left,0.04,hole,right,x,True,0.534981923178
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,8,Folter,negative,200,right,Beschreibung,-200,left,-200,left,0.04,hole,right,x,True,0.411182804033
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,9,Terror,negative,-200,right,Gast,200,right,-200,left,1,hole,left,x,True,0.437129028141
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,10,Anschlag,negative,200,right,Hut,-200,left,-200,left,0.04,hole,right,x,True,0.405650274828
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,11,Wohlstand,positive,-200,right,Park,200,right,-200,left,0.04,hole,right,x,True,0.382917202078
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,12,Koma,negative,200,right,Bedienung,-200,left,200,right,0.04,hole,left,m,True,0.423148348927
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,13,Wunde,negative,200,right,Kaffee,-200,left,-200,left,0.04,hole,right,x,True,0.354352095164
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,14,Gestank,negative,-200,right,Flur,200,right,200,right,0.04,hole,left,m,True,0.480290021747
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,15,Sicherheit,positive,-200,right,Oktober,200,right,-200,left,0.04,hole,right,x,True,0.324463718571
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,16,Qual,negative,200,right,Dolmetscherin,-200,left,200,right,0.04,hole,right,x,False,0.353702905588
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,17,Schmerz,negative,200,right,Kellner,-200,left,200,right,1,hole,left,m,True,0.434637375176
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,18,Hass,negative,200,right,Zug,-200,left,-200,left,1,hole,left,x,True,0.41687180195
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,19,Unfall,negative,-200,right,Wind,200,right,-200,left,0.04,hole,left,x,True,0.35603058245
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,20,Geisel,negative,-200,right,Herr,200,right,200,right,0.04,hole,left,m,True,0.304193452932
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,21,Verehrung,positive,-200,right,Keller,200,right,-200,left,1,hole,left,x,True,0.350473161787
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,22,Solidarität,positive,200,right,Projektor,-200,left,-200,left,0.04,hole,right,x,True,0.415739770979
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,23,Bombe,negative,-200,right,Name,200,right,200,right,0.04,hole,left,m,True,0.315344647504
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,1,24,Bewunderung,positive,-200,right,Locher,200,right,-200,left,0.04,hole,right,x,True,0.386150107719
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,0,Tod,negative,-200,right,Bankkarte,200,right,-200,left,0.04,cross,None,x,True,0.37004168611
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,1,Krankheit,negative,200,right,Markt,-200,left,200,right,0.04,cross,None,m,True,0.361571013927
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,2,Frohsinn,positive,200,right,Decke,-200,left,200,right,1,cross,None,m,True,0.349270008504
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,3,Reichtum,positive,-200,right,Balkon,200,right,-200,left,1,cross,None,x,True,0.453094414435
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,4,Regen,negative,-200,right,Bluse,200,right,200,right,1,cross,None,m,True,0.33752770815
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,5,Beliebtheit,positive,200,right,Schrank,-200,left,-200,left,0.04,cross,None,x,True,0.479989331216
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,6,Ekel,negative,200,right,Fernseher,-200,left,-200,left,1,cross,None,x,True,0.495144318789
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,7,Horror,negative,-200,right,Strumpf,200,right,-200,left,1,cross,None,x,True,0.580181361176
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,8,Übelkeit,negative,200,right,Bildschirm,-200,left,-200,left,1,cross,None,x,True,0.352134263143
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,9,Schrei,negative,-200,right,Passant,200,right,200,right,1,cross,None,m,True,0.365977833979
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,10,Einsamkeit,negative,-200,right,Bibliothek,200,right,200,right,1,cross,None,x,False,0.381529525854
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,11,Ehrlichkeit,positive,-200,right,Rock,200,right,-200,left,0.04,cross,None,x,True,0.492653061636
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,12,Lachen,positive,-200,right,Laden,200,right,200,right,0.04,cross,None,m,True,0.33923899103
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,13,Freiheit,positive,200,right,Anruf,-200,left,-200,left,1,cross,None,x,True,0.35276646167
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,14,Stärke,positive,-200,right,Löffel,200,right,-200,left,0.04,cross,None,x,True,0.411178457551
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,15,Frieden,positive,-200,right,Drucker,200,right,-200,left,1,cross,None,x,True,0.399667305872
hjrhje,34,weiblich,Hufflepuff,das,Der Pate,41,2,16,Feind,negative,-200,right,Kugelschrieber,200,right,200,right,1,cross,None,m,True,0.411657743156
