subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,0,Kostbarkeit,positive,200,right,Eintrittskarte,-200,left,-200,left,0.04,cross,None,miss,False,-999
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,1,Schmerz,negative,200,right,Teppich,-200,left,200,right,0.04,cross,None,m,True,1.00885176659
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,2,Armut,negative,-200,right,Rock,200,right,200,right,0.04,cross,None,m,True,0.439181089401
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,3,Wohlbefinden,positive,200,right,Adresse,-200,left,-200,left,1,cross,None,x,True,1.06246209145
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,4,Anschlag,negative,-200,right,Anruf,200,right,200,right,0.04,cross,None,m,True,0.863609075546
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,5,Harmonie,positive,200,right,Dose,-200,left,200,right,1,cross,None,m,True,0.393723011017
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,6,Schatz,positive,-200,right,Stuhl,200,right,200,right,0.04,cross,None,m,True,0.393811941147
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,7,Panik,negative,-200,right,Dienstag,200,right,200,right,0.04,cross,None,m,True,0.369379997253
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,8,Zufriedenheit,positive,200,right,Monitor,-200,left,-200,left,0.04,cross,None,x,True,0.398013830185
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,9,Glück,positive,-200,right,Wagen,200,right,-200,left,1,cross,None,x,True,0.446720123291
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,10,Pessimismus,negative,-200,right,Koch,200,right,-200,left,1,cross,None,x,True,0.460047960281
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,11,Waffe,negative,200,right,Flughafen,-200,left,-200,left,0.04,cross,None,x,True,0.925713062286
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,12,Horror,negative,200,right,Wind,-200,left,200,right,1,cross,None,m,True,0.348467111588
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,13,Frohsinn,positive,-200,right,Berg,200,right,-200,left,0.04,cross,None,x,True,0.397452116013
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,14,Sicherheit,positive,-200,right,Markt,200,right,200,right,0.04,cross,None,m,True,0.373203039169
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,15,Genuss,positive,-200,right,Bluse,200,right,200,right,1,cross,None,m,True,0.414644956589
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,16,Unglück,negative,-200,right,Juni,200,right,-200,left,0.04,cross,None,x,True,0.413449048996
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,17,Solidarität,positive,200,right,Kellner,-200,left,200,right,0.04,cross,None,m,True,0.327472925186
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,18,Verletzung,negative,200,right,März,-200,left,-200,left,0.04,cross,None,x,True,0.443737983704
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,19,Geschenk,positive,200,right,Tag,-200,left,-200,left,1,cross,None,x,True,0.353622913361
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,20,Bewunderung,positive,200,right,Keller,-200,left,200,right,0.04,cross,None,m,True,0.412930011749
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,21,Hilfsbereitschaft,positive,200,right,Gast,-200,left,200,right,1,cross,None,m,True,0.429290056229
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,22,Mord,negative,200,right,Computer,-200,left,-200,left,1,cross,None,x,True,0.435735940933
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,23,Frieden,positive,-200,right,Brille,200,right,200,right,1,cross,None,m,True,0.347078084946
CM,30,männlich,Ravenclaw,das,Der Pate,35,0,24,Wunde,negative,-200,right,Locher,200,right,200,right,0.04,cross,None,m,True,0.417899847031
CM,30,männlich,Ravenclaw,das,Der Pate,35,1,0,Folter,negative,200,right,RadiergummI,-200,left,-200,left,0.04,hole,left,x,True,0.567094802856
CM,30,männlich,Ravenclaw,das,Der Pate,35,1,1,Droge,negative,-200,right,Anzug,200,right,-200,left,0.04,hole,right,m,False,0.835239171982
