subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,0,Wunde,negative,200,right,Berg,-200,left,200,right,0.04,cross,None,m,True,0.314539194107
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,1,Angst,negative,-200,right,Koch,200,right,-200,left,0.04,cross,None,x,True,0.311117172241
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,2,Treue,positive,200,right,Rock,-200,left,-200,left,0.04,cross,None,x,True,0.308962106705
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,3,Gestank,negative,-200,right,Decke,200,right,-200,left,1,cross,None,x,True,0.309837818146
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,4,Rücksichtnahme,positive,200,right,Oktober,-200,left,200,right,0.04,cross,None,m,True,0.319564819336
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,5,Rache,negative,-200,right,Fußboden,200,right,200,right,1,cross,None,m,True,0.313398122787
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,6,Tod,negative,200,right,Locher,-200,left,200,right,0.04,cross,None,m,True,0.478711128235
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,7,Lebensfreude,positive,-200,right,Eile,200,right,-200,left,1,cross,None,x,True,0.273814916611
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,8,Beliebtheit,positive,-200,right,Tee,200,right,200,right,0.04,cross,None,m,True,0.3111140728
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,9,Zufriedenheit,positive,200,right,Bahnhof,-200,left,200,right,0.04,cross,None,m,True,0.296329975128
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,10,Unfall,negative,200,right,Strumpf,-200,left,-200,left,0.04,cross,None,x,True,0.268851041794
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,11,Gefängnis,negative,200,right,Platz,-200,left,200,right,0.04,cross,None,m,True,0.288265943527
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,12,Frohsinn,positive,200,right,Zucker,-200,left,-200,left,0.04,cross,None,x,True,0.291480064392
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,13,Hass,negative,-200,right,Garten,200,right,200,right,0.04,cross,None,m,True,0.249988794327
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,14,Freundschaft,positive,200,right,Apfelsine,-200,left,200,right,1,cross,None,m,True,0.298716068268
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,15,Droge,negative,200,right,Juni,-200,left,200,right,0.04,cross,None,x,False,0.267339944839
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,16,Dummheit,negative,-200,right,Dezember,200,right,200,right,0.04,cross,None,m,True,0.340157985687
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,17,Unterstützung,positive,200,right,Mai,-200,left,200,right,1,cross,None,m,True,0.470490932465
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,18,Freiheit,positive,-200,right,April,200,right,200,right,0.04,cross,None,m,True,0.511297941208
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,19,Schönheit,positive,-200,right,Kunde,200,right,200,right,1,cross,None,m,True,0.688190937042
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,20,Panik,negative,-200,right,Teppich,200,right,-200,left,1,cross,None,x,True,0.349698781967
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,21,Trennung,negative,200,right,Brille,-200,left,-200,left,1,cross,None,x,True,0.576727867126
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,22,Wohlbefinden,positive,-200,right,Bank,200,right,-200,left,1,cross,None,x,True,0.457006931305
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,23,Krieg,negative,-200,right,Bankkarte,200,right,-200,left,0.04,cross,None,x,True,0.599065065384
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,0,24,Bereicherung,positive,-200,right,Hut,200,right,200,right,0.04,cross,None,m,True,0.602787971497
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,0,Schatz,positive,200,right,Einwohner,-200,left,-200,left,1,hole,right,x,True,0.555623054504
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,1,Wut,negative,-200,right,Baum,200,right,-200,left,1,hole,left,x,True,0.556570053101
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,2,Terror,negative,-200,right,Apotheke,200,right,-200,left,0.04,hole,right,x,True,0.525764942169
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,3,Verehrung,positive,-200,right,Septmeber,200,right,200,right,1,hole,right,m,True,0.418107032776
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,4,Tapferkeit,positive,-200,right,Bluse,200,right,-200,left,0.04,hole,left,x,True,0.552813053131
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,5,Gesundheit,positive,-200,right,Löffel,200,right,-200,left,1,hole,left,x,True,0.366451978683
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,6,Harmonie,positive,200,right,Bibliothek,-200,left,-200,left,1,hole,right,x,True,0.535775899887
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,7,Hilfsbereitschaft,positive,-200,right,Anzug,200,right,200,right,1,hole,left,m,True,0.509868144989
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,8,Vergnügen,positive,200,right,Supermarkt,-200,left,-200,left,0.04,hole,right,x,True,0.565571069717
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,9,Ehrlichkeit,positive,200,right,Fernseher,-200,left,-200,left,0.04,hole,right,x,True,0.679131984711
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,10,Leidenschaft,positive,200,right,Dolmetscherin,-200,left,200,right,1,hole,left,m,True,0.544404983521
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,11,Schrei,negative,-200,right,März,200,right,200,right,0.04,hole,left,m,True,0.605802059174
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,12,Solidarität,positive,-200,right,Februar,200,right,200,right,0.04,hole,right,m,True,0.403497934341
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,13,Armut,negative,200,right,Tisch,-200,left,200,right,0.04,hole,left,m,True,0.600073099136
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,14,Reichtum,positive,200,right,Kugelschrieber,-200,left,200,right,1,hole,left,m,True,0.522614002228
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,15,Zuverlässigkeit,positive,200,right,Keller,-200,left,-200,left,1,hole,right,x,True,0.397171020508
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,16,Genuss,positive,-200,right,Anruf,200,right,-200,left,1,hole,left,x,True,0.332257032394
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,17,Optimismus,positive,-200,right,RadiergummI,200,right,-200,left,0.04,hole,right,x,True,0.58740901947
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,18,Anerkennung,positive,200,right,November,-200,left,-200,left,1,hole,left,x,True,0.353147029877
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,19,Pessimismus,negative,200,right,Beschreibung,-200,left,-200,left,0.04,hole,left,x,True,0.384485960007
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,20,Schrott,negative,-200,right,Kellner,200,right,200,right,0.04,hole,left,m,True,0.43860411644
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,21,Sturz,negative,200,right,Kakao,-200,left,-200,left,0.04,hole,left,x,True,0.349657058716
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,22,Trauer,negative,200,right,Geburtstag,-200,left,200,right,0.04,hole,right,m,True,0.428097009659
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,23,Heimweh,negative,200,right,Park,-200,left,-200,left,1,hole,right,x,True,0.495260953903
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,1,24,Depression,negative,-200,right,Diskette,200,right,-200,left,1,hole,left,x,True,0.35106086731
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,0,Höflichkeit,positive,200,right,Wind,-200,left,-200,left,1,cross,None,x,True,0.337660074234
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,1,Horror,negative,200,right,Kaffee,-200,left,200,right,0.04,cross,None,m,True,0.351682186127
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,2,Herzlichkeit,positive,200,right,Drucker,-200,left,-200,left,1,cross,None,x,True,0.456689834595
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,3,Mut,positive,200,right,Herr,-200,left,-200,left,1,cross,None,x,True,0.372089862823
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,4,Neid,negative,200,right,Stuhl,-200,left,200,right,0.04,cross,None,m,True,0.438006877899
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,5,Geschenk,positive,-200,right,Schlüssel,200,right,200,right,1,cross,None,m,True,0.373646974564
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,6,Sucht,negative,-200,right,Ausweis,200,right,200,right,0.04,cross,None,m,True,0.507105112076
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,7,Entspannung,positive,200,right,Markt,-200,left,-200,left,0.04,cross,None,x,True,0.46555185318
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,8,Belohnung,positive,200,right,Bus,-200,left,-200,left,0.04,cross,None,x,True,0.429486036301
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,9,Bewunderung,positive,200,right,Kleiderhaken,-200,left,-200,left,1,cross,None,x,True,0.368510007858
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,10,Krankheit,negative,200,right,Fuß,-200,left,-200,left,0.04,cross,None,x,True,0.342590093613
Gilderoy,38,männlich,Gryffindor,die,Der Pate,42,2,11,Spaß,positive,-200,right,Zuschauer,200,right,200,right,1,cross,None,m,True,0.344765901566
