subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Günther,30,männlich,Slytherin,das,Der Pate,41,0,0,Reichtum,positive,200,right,Apfelsine,-200,left,200,right,0.04,cross,None,m,True,0.394536972046
Günther,30,männlich,Slytherin,das,Der Pate,41,0,1,Tod,negative,200,right,Schinken,-200,left,200,right,1,cross,None,m,True,0.296036958694
Günther,30,männlich,Slytherin,das,Der Pate,41,0,2,Glück,positive,-200,right,Zeiger,200,right,-200,left,1,cross,None,x,True,0.305691957474
Günther,30,männlich,Slytherin,das,Der Pate,41,0,3,Regen,negative,200,right,Kleiderhaken,-200,left,-200,left,1,cross,None,x,True,0.35445022583
Günther,30,männlich,Slytherin,das,Der Pate,41,0,4,Wohlbefinden,positive,-200,right,Beschreibung,200,right,-200,left,1,cross,None,x,True,0.336448907852
Günther,30,männlich,Slytherin,das,Der Pate,41,0,5,Geisel,negative,200,right,Kunde,-200,left,-200,left,1,cross,None,x,True,0.327644824982
Günther,30,männlich,Slytherin,das,Der Pate,41,0,6,Qual,negative,-200,right,Eile,200,right,200,right,1,cross,None,m,True,0.334725856781
Günther,30,männlich,Slytherin,das,Der Pate,41,0,7,Leidenschaft,positive,-200,right,Passant,200,right,-200,left,1,cross,None,x,True,0.27356505394
Günther,30,männlich,Slytherin,das,Der Pate,41,0,8,Neid,negative,200,right,Fußboden,-200,left,-200,left,0.04,cross,None,x,True,0.43160200119
Günther,30,männlich,Slytherin,das,Der Pate,41,0,9,Folter,negative,200,right,Anzug,-200,left,200,right,1,cross,None,m,True,0.285932064056
Günther,30,männlich,Slytherin,das,Der Pate,41,0,10,Krieg,negative,-200,right,Dose,200,right,-200,left,1,cross,None,x,True,0.362279891968
Günther,30,männlich,Slytherin,das,Der Pate,41,0,11,Gefängnis,negative,200,right,November,-200,left,200,right,1,cross,None,m,True,0.298718929291
Günther,30,männlich,Slytherin,das,Der Pate,41,0,12,Verehrung,positive,-200,right,Monitor,200,right,-200,left,1,cross,None,x,True,0.345457077026
Günther,30,männlich,Slytherin,das,Der Pate,41,0,13,Spaß,positive,200,right,Herr,-200,left,-200,left,1,cross,None,x,True,0.303174972534
Günther,30,männlich,Slytherin,das,Der Pate,41,0,14,Gesundheit,positive,200,right,Baum,-200,left,200,right,0.04,cross,None,m,True,0.326758861542
Günther,30,männlich,Slytherin,das,Der Pate,41,0,15,Totschlag,negative,-200,right,Septmeber,200,right,-200,left,0.04,cross,None,x,True,0.294610977173
Günther,30,männlich,Slytherin,das,Der Pate,41,0,16,Verzweiflung,negative,200,right,Locher,-200,left,200,right,0.04,cross,None,m,True,0.32301902771
Günther,30,männlich,Slytherin,das,Der Pate,41,0,17,Sucht,negative,200,right,Dusche,-200,left,200,right,1,cross,None,m,True,0.310976028442
Günther,30,männlich,Slytherin,das,Der Pate,41,0,18,Gerechtigkeit,positive,200,right,Stuhl,-200,left,-200,left,1,cross,None,x,True,0.295086860657
Günther,30,männlich,Slytherin,das,Der Pate,41,0,19,Eleganz,positive,-200,right,Hafen,200,right,-200,left,0.04,cross,None,x,True,0.380649089813
Günther,30,männlich,Slytherin,das,Der Pate,41,0,20,Entspannung,positive,200,right,Zucker,-200,left,-200,left,0.04,cross,None,x,True,0.30676317215
Günther,30,männlich,Slytherin,das,Der Pate,41,0,21,Wunde,negative,200,right,Hut,-200,left,200,right,0.04,cross,None,m,True,0.310168027878
Günther,30,männlich,Slytherin,das,Der Pate,41,0,22,Gestank,negative,-200,right,Keller,200,right,200,right,1,cross,None,m,True,0.303340196609
Günther,30,männlich,Slytherin,das,Der Pate,41,0,23,Feind,negative,200,right,Tag,-200,left,200,right,1,cross,None,m,True,0.290627002716
Günther,30,männlich,Slytherin,das,Der Pate,41,0,24,Beliebtheit,positive,-200,right,Computer,200,right,-200,left,1,cross,None,x,True,0.349496841431
Günther,30,männlich,Slytherin,das,Der Pate,41,1,0,Bereicherung,positive,-200,right,Bedienung,200,right,200,right,1,hole,left,m,True,0.305747032166
Günther,30,männlich,Slytherin,das,Der Pate,41,1,1,Angst,negative,-200,right,Füller,200,right,-200,left,0.04,hole,left,x,True,0.317939996719
Günther,30,männlich,Slytherin,das,Der Pate,41,1,2,Unfall,negative,200,right,RadiergummI,-200,left,-200,left,0.04,hole,right,x,True,0.441873073578
Günther,30,männlich,Slytherin,das,Der Pate,41,1,3,Anschlag,negative,200,right,Oktober,-200,left,200,right,1,hole,left,m,True,0.349314928055
Günther,30,männlich,Slytherin,das,Der Pate,41,1,4,Schrott,negative,-200,right,Gast,200,right,200,right,0.04,hole,right,m,True,0.380602121353
Günther,30,männlich,Slytherin,das,Der Pate,41,1,5,Schock,negative,-200,right,Fahrschein,200,right,-200,left,0.04,hole,right,x,True,0.269007921219
Günther,30,männlich,Slytherin,das,Der Pate,41,1,6,Dummheit,negative,-200,right,Kellner,200,right,200,right,0.04,hole,right,m,True,0.252274036407
Günther,30,männlich,Slytherin,das,Der Pate,41,1,7,Lachen,positive,200,right,Juli,-200,left,200,right,1,hole,right,m,True,0.322234869003
Günther,30,männlich,Slytherin,das,Der Pate,41,1,8,Zufriedenheit,positive,-200,right,Geburtstag,200,right,200,right,1,hole,right,m,True,0.326513051987
Günther,30,männlich,Slytherin,das,Der Pate,41,1,9,Schönheit,positive,-200,right,Park,200,right,-200,left,0.04,hole,left,x,True,0.390129089355
Günther,30,männlich,Slytherin,das,Der Pate,41,1,10,Freundschaft,positive,200,right,Bus,-200,left,-200,left,1,hole,right,x,True,0.318229913712
Günther,30,männlich,Slytherin,das,Der Pate,41,1,11,Hass,negative,200,right,Cola,-200,left,-200,left,0.04,hole,left,x,True,0.311121940613
Günther,30,männlich,Slytherin,das,Der Pate,41,1,12,Treue,positive,200,right,Supermarkt,-200,left,-200,left,1,hole,right,x,True,0.333677053452
Günther,30,männlich,Slytherin,das,Der Pate,41,1,13,Geschenk,positive,200,right,Eintrittskarte,-200,left,-200,left,1,hole,left,x,True,0.320964813232
Günther,30,männlich,Slytherin,das,Der Pate,41,1,14,Erfolg,positive,200,right,April,-200,left,-200,left,0.04,hole,right,x,True,0.305814027786
Günther,30,männlich,Slytherin,das,Der Pate,41,1,15,Wohlstand,positive,200,right,Brücke,-200,left,-200,left,0.04,hole,right,x,True,0.310279130936
Günther,30,männlich,Slytherin,das,Der Pate,41,1,16,Bombe,negative,-200,right,Zuschauer,200,right,200,right,0.04,hole,left,m,True,0.385840177536
Günther,30,männlich,Slytherin,das,Der Pate,41,1,17,Schmerz,negative,-200,right,Brille,200,right,-200,left,1,hole,right,x,True,0.338080883026
Günther,30,männlich,Slytherin,das,Der Pate,41,1,18,Dankbarkeit,positive,-200,right,Wagen,200,right,200,right,0.04,hole,left,m,True,0.279568910599
Günther,30,männlich,Slytherin,das,Der Pate,41,1,19,Übelkeit,negative,200,right,Kaffee,-200,left,200,right,0.04,hole,left,x,False,0.242074966431
Günther,30,männlich,Slytherin,das,Der Pate,41,1,20,Vergnügen,positive,200,right,Bankkarte,-200,left,-200,left,0.04,hole,left,x,True,0.310752868652
Günther,30,männlich,Slytherin,das,Der Pate,41,1,21,Trennung,negative,-200,right,Februar,200,right,-200,left,0.04,hole,right,x,True,0.517292022705
Günther,30,männlich,Slytherin,das,Der Pate,41,1,22,Krankheit,negative,-200,right,Kakao,200,right,-200,left,0.04,hole,left,x,True,0.309141159058
Günther,30,männlich,Slytherin,das,Der Pate,41,1,23,Depression,negative,200,right,Decke,-200,left,-200,left,1,hole,left,x,True,0.347213983536
Günther,30,männlich,Slytherin,das,Der Pate,41,1,24,Einsamkeit,negative,-200,right,Berg,200,right,-200,left,1,hole,right,x,True,0.357673168182
Günther,30,männlich,Slytherin,das,Der Pate,41,2,0,Kostbarkeit,positive,-200,right,Bildschirm,200,right,200,right,1,cross,None,m,True,0.33881688118
Günther,30,männlich,Slytherin,das,Der Pate,41,2,1,Verletzung,negative,200,right,Apfel,-200,left,-200,left,0.04,cross,None,x,True,0.355854988098
Günther,30,männlich,Slytherin,das,Der Pate,41,2,2,Rache,negative,-200,right,Bank,200,right,-200,left,1,cross,None,x,True,0.366827011108
Günther,30,männlich,Slytherin,das,Der Pate,41,2,3,Höflichkeit,positive,-200,right,Teppich,200,right,-200,left,0.04,cross,None,x,True,0.394676923752
Günther,30,männlich,Slytherin,das,Der Pate,41,2,4,Waffe,negative,200,right,Flughafen,-200,left,200,right,1,cross,None,m,True,0.383591175079
Günther,30,männlich,Slytherin,das,Der Pate,41,2,5,Pessimismus,negative,200,right,Pullover,-200,left,200,right,1,cross,None,m,True,0.380812883377
Günther,30,männlich,Slytherin,das,Der Pate,41,2,6,Frieden,positive,200,right,Flur,-200,left,200,right,0.04,cross,None,m,True,0.422042131424
Günther,30,männlich,Slytherin,das,Der Pate,41,2,7,Horror,negative,-200,right,Strumpf,200,right,-200,left,1,cross,None,x,True,0.355985879898
Günther,30,männlich,Slytherin,das,Der Pate,41,2,8,Unglück,negative,-200,right,Projektor,200,right,200,right,0.04,cross,None,m,True,0.37548995018
Günther,30,männlich,Slytherin,das,Der Pate,41,2,9,Sturz,negative,-200,right,Balkon,200,right,200,right,0.04,cross,None,m,True,0.467220067978
Günther,30,männlich,Slytherin,das,Der Pate,41,2,10,Sympathie,positive,200,right,Apotheke,-200,left,-200,left,0.04,cross,None,x,True,0.382258176804
Günther,30,männlich,Slytherin,das,Der Pate,41,2,11,Panik,negative,-200,right,Bluse,200,right,200,right,1,cross,None,m,True,0.311554908752
Günther,30,männlich,Slytherin,das,Der Pate,41,2,12,Armut,negative,-200,right,Kugelschrieber,200,right,-200,left,1,cross,None,x,True,0.425770998001
Günther,30,männlich,Slytherin,das,Der Pate,41,2,13,Unterstützung,positive,200,right,Bahnhof,-200,left,200,right,1,cross,None,m,True,0.333719015121
Günther,30,männlich,Slytherin,das,Der Pate,41,2,14,Herzlichkeit,positive,-200,right,Juni,200,right,-200,left,1,cross,None,x,True,0.344146966934
Günther,30,männlich,Slytherin,das,Der Pate,41,2,15,Droge,negative,-200,right,Dezember,200,right,-200,left,0.04,cross,None,x,True,0.342519044876
Günther,30,männlich,Slytherin,das,Der Pate,41,2,16,Schleim,negative,200,right,Adresse,-200,left,200,right,1,cross,None,m,True,0.41045498848
Günther,30,männlich,Slytherin,das,Der Pate,41,2,17,Ehrlichkeit,positive,200,right,Fernseher,-200,left,-200,left,1,cross,None,x,True,0.379546165466
Günther,30,männlich,Slytherin,das,Der Pate,41,2,18,Ekel,negative,-200,right,Schlüssel,200,right,-200,left,1,cross,None,x,True,0.449349880219
Günther,30,männlich,Slytherin,das,Der Pate,41,2,19,Zuverlässigkeit,positive,200,right,Drucker,-200,left,-200,left,0.04,cross,None,x,True,0.547811985016
Günther,30,männlich,Slytherin,das,Der Pate,41,2,20,Bewunderung,positive,200,right,Koch,-200,left,200,right,0.04,cross,None,m,True,0.664602041245
Günther,30,männlich,Slytherin,das,Der Pate,41,2,21,Hässlichkeit,negative,200,right,Fuß,-200,left,-200,left,0.04,cross,None,x,True,0.367305994034
