subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,0,Anschlag,negative,200,right,Name,-200,left,-200,left,1,cross,None,x,True,0.329257011414
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,1,Verletzung,negative,200,right,Brille,-200,left,-200,left,0.04,cross,None,x,True,0.315806865692
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,2,Verzweiflung,negative,-200,right,Laden,200,right,200,right,1,cross,None,m,True,0.293422937393
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,3,Eleganz,positive,200,right,Januar,-200,left,200,right,1,cross,None,m,True,0.305186033249
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,4,Hässlichkeit,negative,-200,right,Cola,200,right,-200,left,1,cross,None,x,True,0.328813791275
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,5,Panik,negative,-200,right,Anzug,200,right,-200,left,1,cross,None,x,True,0.333737134933
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,6,Schleim,negative,-200,right,Ausweis,200,right,-200,left,0.04,cross,None,x,True,0.312689781189
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,7,Wohlstand,positive,-200,right,Schinken,200,right,-200,left,0.04,cross,None,x,True,0.433069944382
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,8,Geisel,negative,-200,right,Computer,200,right,-200,left,1,cross,None,x,True,0.324443101883
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,9,Rache,negative,200,right,Passant,-200,left,-200,left,0.04,cross,None,x,True,0.322088003159
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,10,Tod,negative,-200,right,Brücke,200,right,200,right,0.04,cross,None,m,True,0.342173099518
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,11,Schatz,positive,-200,right,Supermarkt,200,right,-200,left,1,cross,None,x,True,0.481807947159
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,12,Bewunderung,positive,200,right,Flughafen,-200,left,200,right,0.04,cross,None,m,True,0.419010162354
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,13,Droge,negative,-200,right,Tag,200,right,-200,left,0.04,cross,None,x,True,0.31249499321
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,14,Trennung,negative,200,right,Berg,-200,left,-200,left,1,cross,None,x,True,0.321591854095
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,15,Gefängnis,negative,200,right,Park,-200,left,200,right,1,cross,None,m,True,0.276160955429
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,16,Mord,negative,-200,right,Septmeber,200,right,-200,left,1,cross,None,x,True,0.299006938934
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,17,Gestank,negative,-200,right,Wind,200,right,-200,left,0.04,cross,None,x,True,0.367794036865
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,18,Schrei,negative,200,right,Kugelschrieber,-200,left,-200,left,0.04,cross,None,x,True,0.370423078537
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,19,Harmonie,positive,200,right,Rock,-200,left,-200,left,1,cross,None,x,True,0.364202022552
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,20,Trauer,negative,-200,right,Stuhl,200,right,-200,left,0.04,cross,None,x,True,0.348536014557
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,21,Krieg,negative,-200,right,Kunde,200,right,200,right,0.04,cross,None,m,True,0.302598953247
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,22,Bereicherung,positive,200,right,Bildschirm,-200,left,-200,left,0.04,cross,None,x,True,0.310281991959
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,23,Rücksichtnahme,positive,200,right,Decke,-200,left,200,right,0.04,cross,None,m,True,0.319694042206
Harry,26,männlich,Gryffindor,das,Der Pate,35,0,24,Sucht,negative,200,right,Fahrschein,-200,left,-200,left,1,cross,None,x,True,0.250804185867
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,0,Wunde,negative,200,right,Bluse,-200,left,200,right,0.04,hole,left,m,True,0.299492120743
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,1,Ekel,negative,200,right,Dose,-200,left,200,right,0.04,hole,left,m,True,0.304585933685
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,2,Angst,negative,200,right,Zuschauer,-200,left,-200,left,1,hole,right,x,True,0.296237945557
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,3,Verehrung,positive,-200,right,Dolmetscherin,200,right,200,right,1,hole,right,m,True,0.301371097565
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,4,Leidenschaft,positive,200,right,Dusche,-200,left,-200,left,1,hole,right,x,True,0.346520900726
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,5,Belohnung,positive,-200,right,Drucker,200,right,-200,left,1,hole,right,x,True,0.303377151489
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,6,Spaß,positive,-200,right,Juni,200,right,-200,left,1,hole,right,x,True,0.325500011444
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,7,Kraft,positive,200,right,Diskette,-200,left,200,right,1,hole,left,m,True,0.306126117706
Harry,26,männlich,Gryffindor,das,Der Pate,35,1,8,Gerechtigkeit,positive,200,right,Wagen,-200,left,200,right,0.04,hole,right,m,True,0.294689178467
