subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,0,Zufriedenheit,positive,200,right,Kunde,-200,left,200,right,0.04,cross,None,m,True,0.360406160355
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,1,Erfolg,positive,200,right,Kaffee,-200,left,200,right,1,cross,None,m,True,0.30698299408
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,2,Attraktivität,positive,-200,right,Zucker,200,right,200,right,0.04,cross,None,m,True,0.310482025146
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,3,Belohnung,positive,200,right,Füller,-200,left,200,right,0.04,cross,None,m,True,0.305023908615
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,4,Müll,negative,200,right,August,-200,left,200,right,1,cross,None,m,True,0.32075881958
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,5,Rücksichtnahme,positive,200,right,Eintrittskarte,-200,left,-200,left,0.04,cross,None,x,True,0.379441022873
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,6,Schrei,negative,200,right,Fernseher,-200,left,200,right,1,cross,None,m,True,0.288242101669
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,7,Droge,negative,200,right,Sessel,-200,left,200,right,0.04,cross,None,m,True,0.298429012299
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,8,Kraft,positive,-200,right,Zuschauer,200,right,-200,left,0.04,cross,None,x,True,0.513082027435
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,9,Harmonie,positive,200,right,Bedienung,-200,left,-200,left,1,cross,None,x,True,0.336020946503
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,10,Leid,negative,-200,right,Flughafen,200,right,-200,left,1,cross,None,x,True,0.325289011002
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,11,Wut,negative,200,right,Fußboden,-200,left,-200,left,1,cross,None,x,True,0.282511949539
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,12,Folter,negative,-200,right,Computer,200,right,-200,left,0.04,cross,None,x,True,0.319777011871
Hermine,24,weiblich,Gryffindor,das,Pulp Fiction,39,0,13,Anerkennung,positive,-200,right,Bibliothek,200,right,-200,left,0.04,cross,None,x,True,0.374665021896
