subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,0,Unglück,negative,200,right,Schinken,-200,left,-200,left,1,cross,None,x,True,0.411761266179
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,1,Wunde,negative,-200,right,November,200,right,200,right,1,cross,None,m,True,0.293208606541
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,2,Bereicherung,positive,200,right,Park,-200,left,-200,left,1,cross,None,x,True,0.326272991486
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,3,Krieg,negative,200,right,Hafen,-200,left,-200,left,0.04,cross,None,x,True,0.367848351598
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,4,Lachen,positive,-200,right,Balkon,200,right,200,right,1,cross,None,m,True,0.355563546531
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,5,Gesundheit,positive,200,right,Fernseher,-200,left,-200,left,0.04,cross,None,x,True,0.310983661562
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,6,Geschenk,positive,200,right,Finger,-200,left,200,right,0.04,cross,None,m,True,0.499254005961
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,7,Harmonie,positive,200,right,Kaffee,-200,left,-200,left,0.04,cross,None,x,True,0.333060038276
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,8,Dummheit,negative,-200,right,Hut,200,right,-200,left,0.04,cross,None,x,True,0.364011695608
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,9,Lebensfreude,positive,-200,right,Zuschauer,200,right,200,right,0.04,cross,None,m,True,0.35832941439
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,10,Genuss,positive,-200,right,Gast,200,right,200,right,1,cross,None,m,True,0.349013177678
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,11,Horror,negative,-200,right,Füller,200,right,-200,left,0.04,cross,None,x,True,0.350901870988
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,12,Gefängnis,negative,200,right,Dienstag,-200,left,-200,left,1,cross,None,x,True,0.314968093298
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,13,Qual,negative,200,right,Flur,-200,left,200,right,1,cross,None,m,True,0.378139755689
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,14,Wohlbefinden,positive,200,right,Brille,-200,left,-200,left,0.04,cross,None,x,True,0.367490368895
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,15,Entspannung,positive,-200,right,Wagen,200,right,200,right,1,cross,None,m,True,0.358599284664
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,16,Reichtum,positive,200,right,Anzug,-200,left,200,right,0.04,cross,None,m,True,0.577181579545
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,17,Panik,negative,200,right,Garten,-200,left,200,right,1,cross,None,m,True,0.325918169692
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,18,Übelkeit,negative,-200,right,Fußboden,200,right,-200,left,1,cross,None,m,False,0.329764703289
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,19,Wohlstand,positive,-200,right,Fahrschein,200,right,-200,left,1,cross,None,x,True,0.576222613454
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,20,Wut,negative,-200,right,Locher,200,right,-200,left,1,cross,None,x,True,0.445781061426
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,21,Ehrlichkeit,positive,200,right,Projektor,-200,left,200,right,0.04,cross,None,x,False,0.465589426458
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,22,Angst,negative,-200,right,Stuhl,200,right,-200,left,1,cross,None,x,True,0.452326687984
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,23,Frohsinn,positive,200,right,Dezember,-200,left,200,right,1,cross,None,m,True,0.452998399734
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,0,24,Verzweiflung,negative,200,right,Löffel,-200,left,200,right,1,cross,None,m,True,0.348175118677
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,1,0,Koma,negative,200,right,Drucker,-200,left,-200,left,1,hole,left,x,True,0.34448386915
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,1,1,Attraktivität,positive,-200,right,Bibliothek,200,right,200,right,0.04,hole,right,m,True,0.55369065702
JKR,30,weiblich,Hufflepuff,die,Der Pate,41,1,2,Verletzung,negative,-200,right,Kunde,200,right,200,right,0.04,hole,right,m,True,0.416555702686
