subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,0,Hass,negative,200,right,Platz,-200,left,200,right,1,cross,None,m,True,0.312649965286
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,1,Bombe,negative,200,right,Laden,-200,left,-200,left,0.04,cross,None,x,True,0.351950883865
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,2,Treue,positive,200,right,Dezember,-200,left,200,right,1,cross,None,m,True,0.289345026016
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,3,Rücksichtnahme,positive,-200,right,Eile,200,right,200,right,0.04,cross,None,m,True,0.287852048874
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,4,Zufriedenheit,positive,200,right,Pass,-200,left,200,right,1,cross,None,m,True,0.31719493866
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,5,Attraktivität,positive,200,right,Kleiderhaken,-200,left,200,right,0.04,cross,None,m,True,0.295917034149
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,6,Frieden,positive,-200,right,Flughafen,200,right,-200,left,0.04,cross,None,x,True,0.316998004913
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,7,Reichtum,positive,200,right,Bus,-200,left,-200,left,0.04,cross,None,m,False,0.234754085541
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,8,Terror,negative,200,right,Strumpf,-200,left,-200,left,0.04,cross,None,x,True,0.355870962143
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,9,Hässlichkeit,negative,-200,right,Bankkarte,200,right,200,right,1,cross,None,m,True,0.278529882431
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,10,Liebe,positive,200,right,Bedienung,-200,left,-200,left,0.04,cross,None,m,False,0.300354957581
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,11,Übelkeit,negative,200,right,Keller,-200,left,-200,left,1,cross,None,x,True,0.330320119858
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,12,Freundschaft,positive,-200,right,Gast,200,right,200,right,0.04,cross,None,m,True,0.366672992706
JM,31,weiblich,Gryffindor,das,Pulp Fiction,41,0,13,Spaß,positive,-200,right,Kunde,200,right,-200,left,0.04,cross,None,x,True,0.325417041779
