subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,0,Freiheit,positive,200,right,Januar,-200,left,-200,left,0.04,cross,None,m,False,0.75314283371
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,1,Einsamkeit,negative,200,right,Kellner,-200,left,200,right,0.04,cross,None,m,True,0.538418054581
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,2,Leid,negative,-200,right,Park,200,right,-200,left,1,cross,None,x,True,0.983915090561
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,3,Rache,negative,-200,right,Fahrschein,200,right,200,right,1,cross,None,m,True,0.338712930679
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,4,Wut,negative,-200,right,Flughafen,200,right,-200,left,0.04,cross,None,x,True,0.505438089371
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,5,Schönheit,positive,200,right,Kaffee,-200,left,-200,left,1,cross,None,x,True,0.333054065704
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,6,Krankheit,negative,-200,right,Bibliothek,200,right,-200,left,0.04,cross,None,x,True,0.440859794617
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,7,Erfolg,positive,-200,right,Kakao,200,right,-200,left,0.04,cross,None,x,True,0.339706897736
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,8,Spaß,positive,200,right,Stuhl,-200,left,200,right,0.04,cross,None,m,True,0.32976603508
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,9,Reichtum,positive,-200,right,Anruf,200,right,-200,left,1,cross,None,x,True,0.668304920197
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,10,Frohsinn,positive,200,right,Ausweis,-200,left,200,right,0.04,cross,None,m,True,0.346194028854
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,11,Wunde,negative,-200,right,Juni,200,right,-200,left,0.04,cross,None,x,True,0.363233089447
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,12,Verzweiflung,negative,-200,right,Wind,200,right,-200,left,1,cross,None,x,True,0.307827949524
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,13,Kraft,positive,-200,right,Oktober,200,right,-200,left,0.04,cross,None,x,True,0.310036182404
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,14,Angst,negative,200,right,Bus,-200,left,200,right,0.04,cross,None,m,True,0.335955142975
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,15,Waffe,negative,200,right,Platz,-200,left,200,right,0.04,cross,None,m,True,0.370078086853
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,16,Gestank,negative,200,right,Herr,-200,left,-200,left,1,cross,None,x,True,0.286370992661
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,17,Bombe,negative,-200,right,Garten,200,right,200,right,1,cross,None,m,True,0.359621047974
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,18,Schrott,negative,200,right,Septmeber,-200,left,200,right,0.04,cross,None,m,True,0.343359947205
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,19,Genuss,positive,200,right,Rock,-200,left,-200,left,1,cross,None,x,True,0.277630805969
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,20,Ekel,negative,200,right,Brücke,-200,left,200,right,1,cross,None,m,True,0.328719139099
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,21,Tod,negative,-200,right,Supermarkt,200,right,-200,left,0.04,cross,None,x,True,0.350281000137
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,22,Übelkeit,negative,-200,right,Bank,200,right,200,right,0.04,cross,None,m,True,0.31378698349
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,23,Unterstützung,positive,-200,right,Gast,200,right,200,right,1,cross,None,m,True,0.352658987045
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,0,24,Schatz,positive,-200,right,Hafen,200,right,-200,left,1,cross,None,x,True,0.263851881027
JN,20,männlich,Ravenclaw,das,Pulp Fiction,38,1,0,Gefängnis,negative,-200,right,Kleiderhaken,200,right,200,right,0.04,hole,right,m,True,0.331995010376
