subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,0,Leid,negative,200,right,Apfel,-200,left,-200,left,1,cross,None,x,True,0.514089107513
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,1,Schmerz,negative,-200,right,Februar,200,right,200,right,1,cross,None,m,True,0.358165979385
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,2,Rücksichtnahme,positive,200,right,Mai,-200,left,-200,left,1,cross,None,x,True,0.303859949112
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,3,Freundschaft,positive,-200,right,Flur,200,right,-200,left,1,cross,None,x,True,0.341164827347
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,4,Kraft,positive,200,right,Computer,-200,left,-200,left,1,cross,None,x,True,0.266347885132
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,5,Schönheit,positive,-200,right,Füller,200,right,200,right,1,cross,None,m,True,0.28876709938
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,6,Verletzung,negative,-200,right,Drucker,200,right,-200,left,1,cross,None,x,True,0.301321029663
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,7,Liebe,positive,-200,right,Herr,200,right,200,right,0.04,cross,None,m,True,0.361036062241
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,8,Trennung,negative,-200,right,Zucker,200,right,-200,left,0.04,cross,None,x,True,0.39469909668
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,9,Angst,negative,-200,right,Bluse,200,right,-200,left,1,cross,None,x,True,0.386469125748
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,10,Leidenschaft,positive,200,right,Dusche,-200,left,200,right,0.04,cross,None,m,True,0.666805028915
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,11,Depression,negative,-200,right,Fuß,200,right,-200,left,0.04,cross,None,x,True,0.338635921478
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,12,Bombe,negative,-200,right,Projektor,200,right,-200,left,1,cross,None,x,True,0.333425998688
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,13,Ekel,negative,-200,right,Apotheke,200,right,-200,left,0.04,cross,None,x,True,1.41862297058
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,14,Harmonie,positive,-200,right,Passant,200,right,-200,left,1,cross,None,x,True,0.319647073746
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,15,Wohlbefinden,positive,-200,right,Dolmetscherin,200,right,-200,left,1,cross,None,x,True,0.32657122612
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,16,Unterstützung,positive,200,right,Platz,-200,left,200,right,0.04,cross,None,x,False,0.504364967346
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,17,Pessimismus,negative,200,right,Wind,-200,left,-200,left,1,cross,None,x,True,0.320747852325
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,18,Spaß,positive,-200,right,Laden,200,right,-200,left,0.04,cross,None,x,True,0.378651857376
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,19,Trauer,negative,200,right,Gast,-200,left,200,right,0.04,cross,None,m,True,0.346235990524
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,20,Horror,negative,200,right,Name,-200,left,200,right,0.04,cross,None,m,True,0.395549058914
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,21,Neid,negative,-200,right,Bibliothek,200,right,200,right,1,cross,None,m,True,0.341956853867
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,22,Schrei,negative,200,right,Geburtstag,-200,left,200,right,0.04,cross,None,m,True,0.382062911987
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,23,Sturz,negative,200,right,Tisch,-200,left,-200,left,1,cross,None,x,True,0.464684963226
LaPe,28,weiblich,Slytherin,die,Der Pate,30,0,24,Schrott,negative,-200,right,Monitor,200,right,-200,left,0.04,cross,None,x,True,0.975900173187
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,0,Mord,negative,-200,right,März,200,right,-200,left,1,hole,right,x,True,0.364186048508
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,1,Entspannung,positive,200,right,Fahrschein,-200,left,-200,left,0.04,hole,right,x,True,0.370329856873
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,2,Optimismus,positive,200,right,Kaffee,-200,left,-200,left,1,hole,right,x,True,0.35569691658
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,3,Schatz,positive,-200,right,Juli,200,right,-200,left,1,hole,right,x,True,0.373497962952
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,4,Übelkeit,negative,-200,right,Eile,200,right,200,right,1,hole,right,m,True,0.411505937576
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,5,Dummheit,negative,200,right,Septmeber,-200,left,-200,left,1,hole,right,x,True,0.343752145767
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,6,Beliebtheit,positive,200,right,Beschreibung,-200,left,200,right,1,hole,left,m,True,0.35986995697
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,7,Rache,negative,-200,right,Dienstag,200,right,-200,left,1,hole,right,x,True,0.307591199875
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,8,Schock,negative,-200,right,Löffel,200,right,-200,left,1,hole,right,x,True,0.294183015823
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,9,Reichtum,positive,200,right,Rock,-200,left,200,right,0.04,hole,left,m,True,0.388520002365
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,10,Sympathie,positive,200,right,Baum,-200,left,-200,left,0.04,hole,right,x,True,0.365214109421
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,11,Genuss,positive,-200,right,Bestellung,200,right,-200,left,0.04,hole,left,x,True,0.375975847244
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,12,Tod,negative,200,right,Finger,-200,left,-200,left,1,hole,right,x,True,0.363443851471
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,13,Tapferkeit,positive,200,right,Flughafen,-200,left,200,right,0.04,hole,left,m,True,0.459336042404
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,14,Gestank,negative,200,right,Kleiderhaken,-200,left,200,right,1,hole,left,m,True,0.341799020767
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,15,Mut,positive,-200,right,Kunde,200,right,200,right,0.04,hole,right,m,True,0.466365098953
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,16,Sicherheit,positive,200,right,Brille,-200,left,-200,left,0.04,hole,left,x,True,0.410337924957
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,17,Kostbarkeit,positive,200,right,Diskette,-200,left,-200,left,1,hole,right,x,True,0.351649999619
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,18,Krankheit,negative,-200,right,Markt,200,right,-200,left,0.04,hole,left,x,True,0.354740142822
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,19,Droge,negative,200,right,Bedienung,-200,left,200,right,1,hole,right,m,True,0.343935966492
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,20,Panik,negative,-200,right,Kellner,200,right,200,right,1,hole,left,m,True,0.297338962555
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,21,Schleim,negative,200,right,Fernseher,-200,left,200,right,1,hole,left,m,True,0.37549996376
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,22,Wunde,negative,-200,right,Brücke,200,right,200,right,1,hole,left,m,True,0.367920875549
LaPe,28,weiblich,Slytherin,die,Der Pate,30,1,23,Treue,positive,200,right,Oktober,-200,left,-200,left,1,hole,left,x,True,0.351424217224
