subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,0,Spaß,positive,200,right,Fußboden,-200,left,-200,left,1,cross,None,x,True,0.324902057648
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,1,Unfall,negative,200,right,Dezember,-200,left,200,right,0.04,cross,None,m,True,0.367425918579
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,2,Geschenk,positive,200,right,August,-200,left,200,right,0.04,cross,None,m,True,0.326652050018
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,3,Gefängnis,negative,200,right,Park,-200,left,-200,left,1,cross,None,x,True,0.301903009415
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,4,Schönheit,positive,-200,right,Fahrschein,200,right,-200,left,1,cross,None,x,True,0.325350999832
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,5,Angst,negative,200,right,Kakao,-200,left,-200,left,0.04,cross,None,x,True,0.355096101761
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,6,Mord,negative,-200,right,Beschreibung,200,right,200,right,0.04,cross,None,m,True,0.3969810009
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,7,Ekel,negative,200,right,Koch,-200,left,-200,left,0.04,cross,None,x,True,0.343482971191
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,8,Frohsinn,positive,200,right,Berg,-200,left,200,right,0.04,cross,None,m,True,0.3367228508
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,9,Lebensfreude,positive,200,right,Oktober,-200,left,-200,left,1,cross,None,x,True,0.316990852356
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,10,Schleim,negative,-200,right,Gast,200,right,-200,left,0.04,cross,None,x,True,0.335134029388
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,11,Droge,negative,200,right,Bahnhof,-200,left,200,right,1,cross,None,m,True,0.274338006973
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,12,Leidenschaft,positive,200,right,Supermarkt,-200,left,200,right,1,cross,None,m,True,0.295711040497
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,13,Schock,negative,-200,right,Hut,200,right,-200,left,0.04,cross,None,x,True,0.340348958969
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,14,Hässlichkeit,negative,-200,right,Garten,200,right,-200,left,0.04,cross,None,x,True,0.400650024414
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,15,Wohlbefinden,positive,200,right,Zuschauer,-200,left,-200,left,1,cross,None,x,True,0.346186876297
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,16,Horror,negative,-200,right,Name,200,right,200,right,0.04,cross,None,m,True,0.397571086884
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,17,Tapferkeit,positive,-200,right,Bibliothek,200,right,-200,left,1,cross,None,x,True,0.28909611702
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,18,Solidarität,positive,200,right,Fuß,-200,left,200,right,1,cross,None,m,True,0.259701967239
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,19,Tod,negative,-200,right,Löffel,200,right,-200,left,0.04,cross,None,x,True,0.311122894287
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,20,Hilfsbereitschaft,positive,-200,right,Dolmetscherin,200,right,-200,left,1,cross,None,x,True,0.36031293869
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,21,Totschlag,negative,-200,right,Anzug,200,right,-200,left,0.04,cross,None,x,True,0.392802000046
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,22,Anerkennung,positive,200,right,Februar,-200,left,-200,left,0.04,cross,None,x,True,0.303950071335
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,23,Ehrlichkeit,positive,-200,right,Finger,200,right,200,right,0.04,cross,None,m,True,0.385663986206
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,0,24,Mut,positive,200,right,Marktplatz,-200,left,-200,left,0.04,cross,None,x,True,0.290647029877
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,0,Freundschaft,positive,200,right,Juli,-200,left,200,right,1,hole,right,m,True,0.386426925659
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,1,Wohlstand,positive,-200,right,Kleiderhaken,200,right,200,right,1,hole,left,m,True,0.353543043137
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,2,Zuverlässigkeit,positive,-200,right,Schinken,200,right,-200,left,1,hole,right,x,True,0.379312992096
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,3,Vergnügen,positive,200,right,Teppich,-200,left,-200,left,1,hole,right,x,True,0.335699081421
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,4,Übelkeit,negative,-200,right,Herr,200,right,-200,left,1,hole,left,x,True,0.40020608902
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,5,Verletzung,negative,200,right,Strumpf,-200,left,-200,left,1,hole,right,x,True,0.375756025314
Lisa,26,weiblich,Hufflepuff,das,Der Pate,37,1,6,Heimweh,negative,-200,right,Rock,200,right,200,right,1,hole,left,m,True,0.337364912033
