subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,0,Lebensfreude,positive,-200,right,Bahnhof,200,right,-200,left,1,cross,None,x,True,0.389034032822
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,1,Vergnügen,positive,-200,right,Bankkarte,200,right,200,right,1,cross,None,m,True,0.312439918518
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,2,Solidarität,positive,-200,right,Kugelschrieber,200,right,200,right,1,cross,None,m,True,0.375764131546
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,3,Reichtum,positive,-200,right,Flughafen,200,right,200,right,1,cross,None,m,True,0.319123029709
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,4,Glück,positive,200,right,Decke,-200,left,-200,left,0.04,cross,None,x,True,0.402856111526
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,5,Kraft,positive,-200,right,Marktplatz,200,right,200,right,1,cross,None,m,True,0.29837012291
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,6,Schmerz,negative,-200,right,Stuhl,200,right,200,right,1,cross,None,m,True,0.363555908203
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,7,Entspannung,positive,-200,right,Finger,200,right,200,right,0.04,cross,None,m,True,0.383095026016
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,8,Harmonie,positive,-200,right,Tag,200,right,200,right,1,cross,None,m,True,0.311741113663
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,9,Attraktivität,positive,-200,right,Ausweis,200,right,200,right,0.04,cross,None,m,True,0.392243146896
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,10,Krankheit,negative,200,right,Dusche,-200,left,200,right,1,cross,None,m,True,0.303478002548
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,11,Übelkeit,negative,200,right,März,-200,left,-200,left,1,cross,None,x,True,0.398220777512
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,12,Dummheit,negative,-200,right,Supermarkt,200,right,200,right,0.04,cross,None,m,True,0.469166994095
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,13,Freundschaft,positive,200,right,Kleiderhaken,-200,left,-200,left,0.04,cross,None,x,True,0.380625963211
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,14,Tod,negative,200,right,Bank,-200,left,-200,left,0.04,cross,None,x,True,0.529701948166
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,15,Rücksichtnahme,positive,200,right,Schinken,-200,left,200,right,0.04,cross,None,m,True,0.381870985031
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,16,Unfall,negative,200,right,Löffel,-200,left,200,right,1,cross,None,m,True,0.455575942993
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,17,Sympathie,positive,-200,right,Garten,200,right,200,right,1,cross,None,m,True,0.292218923569
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,18,Krieg,negative,200,right,Zug,-200,left,200,right,0.04,cross,None,m,True,0.345138072968
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,19,Höflichkeit,positive,-200,right,Bus,200,right,200,right,0.04,cross,None,m,True,0.424463033676
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,20,Trennung,negative,200,right,Einwohner,-200,left,-200,left,1,cross,None,x,True,0.421823978424
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,21,Bewunderung,positive,200,right,Keller,-200,left,200,right,1,cross,None,m,True,0.326668977737
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,22,Bereicherung,positive,-200,right,Tee,200,right,200,right,0.04,cross,None,m,True,0.426450967789
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,23,Folter,negative,200,right,Bibliothek,-200,left,200,right,1,cross,None,m,True,0.365523099899
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,0,24,Spaß,positive,200,right,Diskette,-200,left,200,right,0.04,cross,None,m,True,0.338469982147
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,0,Beliebtheit,positive,200,right,Berg,-200,left,-200,left,1,hole,right,x,True,0.410143852234
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,1,Ehrlichkeit,positive,200,right,Februar,-200,left,200,right,0.04,hole,right,m,True,0.337538003922
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,2,Genuss,positive,-200,right,Zuschauer,200,right,-200,left,1,hole,left,x,True,0.317850828171
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,3,Zuverlässigkeit,positive,-200,right,Kunde,200,right,-200,left,0.04,hole,right,x,True,0.365558862686
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,4,Qual,negative,200,right,Balkon,-200,left,200,right,0.04,hole,right,m,True,0.362412929535
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,5,Schatz,positive,-200,right,Kakao,200,right,-200,left,1,hole,right,x,True,0.330616950989
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,6,Depression,negative,-200,right,Apotheke,200,right,-200,left,1,hole,left,x,True,0.357129096985
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,7,Gesundheit,positive,-200,right,Teppich,200,right,-200,left,0.04,hole,right,m,False,0.354588985443
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,8,Schock,negative,200,right,Computer,-200,left,-200,left,1,hole,right,x,True,0.310062885284
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,9,Eleganz,positive,200,right,Sessel,-200,left,200,right,1,hole,right,m,True,0.450432062149
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,10,Heimweh,negative,-200,right,Schlüssel,200,right,-200,left,1,hole,right,x,True,0.410701990128
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,11,Schönheit,positive,200,right,Fahrschein,-200,left,200,right,1,hole,right,m,True,0.383465051651
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,12,Verehrung,positive,200,right,Fuß,-200,left,-200,left,1,hole,left,x,True,0.358826875687
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,13,Unterstützung,positive,200,right,Dose,-200,left,-200,left,1,hole,left,x,True,0.560707807541
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,14,Freiheit,positive,-200,right,Tisch,200,right,-200,left,1,hole,right,x,True,0.351410150528
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,15,Verletzung,negative,200,right,Brücke,-200,left,200,right,1,hole,right,m,True,0.411224126816
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,16,Geisel,negative,-200,right,Juni,200,right,-200,left,0.04,hole,right,x,True,0.484035015106
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,17,Leidenschaft,positive,200,right,Park,-200,left,200,right,1,hole,right,m,True,0.342200040817
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,18,Zufriedenheit,positive,-200,right,Rock,200,right,-200,left,1,hole,right,x,True,0.314260959625
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,19,Mut,positive,-200,right,April,200,right,-200,left,0.04,hole,left,x,True,0.472240209579
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,20,Tapferkeit,positive,-200,right,Strumpf,200,right,200,right,1,hole,left,m,True,0.305114984512
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,21,Dankbarkeit,positive,-200,right,Laden,200,right,-200,left,0.04,hole,right,x,True,0.38662314415
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,22,Schrott,negative,200,right,Füller,-200,left,200,right,1,hole,left,m,True,0.337903022766
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,23,Frohsinn,positive,200,right,Bedienung,-200,left,-200,left,1,hole,right,x,True,0.306893110275
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,1,24,Terror,negative,-200,right,Bildschirm,200,right,200,right,0.04,hole,right,m,True,0.386135816574
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,0,Anerkennung,positive,200,right,Juli,-200,left,200,right,0.04,cross,None,m,True,0.370879173279
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,1,Wohlstand,positive,200,right,RadiergummI,-200,left,200,right,1,cross,None,m,True,0.345943927765
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,2,Verzweiflung,negative,200,right,Dolmetscherin,-200,left,-200,left,1,cross,None,x,True,0.382700920105
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,3,Hass,negative,200,right,Dienstag,-200,left,200,right,1,cross,None,m,True,0.274041891098
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,4,Belohnung,positive,200,right,Baum,-200,left,200,right,0.04,cross,None,m,True,0.385833978653
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,5,Kostbarkeit,positive,-200,right,Wagen,200,right,-200,left,1,cross,None,x,True,0.32044005394
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,6,Einsamkeit,negative,200,right,Hut,-200,left,-200,left,0.04,cross,None,x,True,0.363065004349
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,7,Stärke,positive,200,right,Januar,-200,left,200,right,0.04,cross,None,m,True,0.355015993118
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,8,Sicherheit,positive,200,right,Passant,-200,left,200,right,1,cross,None,m,True,0.337630033493
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,9,Hilfsbereitschaft,positive,-200,right,Herr,200,right,-200,left,0.04,cross,None,x,True,0.411826133728
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,10,Gerechtigkeit,positive,200,right,Apfel,-200,left,-200,left,0.04,cross,None,x,True,0.366664886475
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,11,Unglück,negative,200,right,Bluse,-200,left,200,right,0.04,cross,None,m,True,0.276433944702
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,12,Sucht,negative,-200,right,Kellner,200,right,-200,left,0.04,cross,None,x,True,0.297233104706
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,13,Hässlichkeit,negative,200,right,Fußboden,-200,left,200,right,0.04,cross,None,m,True,0.348666906357
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,14,Panik,negative,-200,right,Zucker,200,right,-200,left,1,cross,None,x,True,0.338464975357
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,15,Treue,positive,-200,right,Schrank,200,right,200,right,1,cross,None,m,True,0.322689056396
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,16,Lachen,positive,-200,right,Monitor,200,right,-200,left,1,cross,None,x,True,0.294977903366
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,17,Koma,negative,-200,right,Wind,200,right,200,right,1,cross,None,m,True,0.311647891998
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,18,Anschlag,negative,200,right,Koch,-200,left,-200,left,0.04,cross,None,x,True,0.34684586525
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,19,Rache,negative,200,right,Mai,-200,left,200,right,1,cross,None,m,True,0.372112035751
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,20,Angst,negative,-200,right,Locher,200,right,-200,left,0.04,cross,None,x,True,0.391988992691
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,21,Regen,negative,200,right,Septmeber,-200,left,200,right,0.04,cross,None,m,True,0.338213920593
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,22,Erfolg,positive,200,right,Hafen,-200,left,-200,left,0.04,cross,None,x,True,0.35732293129
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,23,Droge,negative,-200,right,Name,200,right,-200,left,1,cross,None,m,False,0.247260093689
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,2,24,Neid,negative,200,right,Markt,-200,left,200,right,0.04,cross,None,m,True,0.386570930481
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,0,Feind,negative,-200,right,Eile,200,right,200,right,1,hole,left,m,True,0.362560987473
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,1,Wut,negative,200,right,Drucker,-200,left,-200,left,1,hole,right,x,True,0.357887029648
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,2,Optimismus,positive,-200,right,Zeiger,200,right,200,right,1,hole,left,m,True,0.337595939636
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,3,Müll,negative,-200,right,August,200,right,-200,left,0.04,hole,left,x,True,0.394889116287
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,4,Herzlichkeit,positive,-200,right,Platz,200,right,-200,left,0.04,hole,left,x,True,0.612904071808
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,5,Schleim,negative,200,right,Pass,-200,left,-200,left,0.04,hole,left,x,True,0.484731912613
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,6,Wohlbefinden,positive,-200,right,Apfelsine,200,right,200,right,0.04,hole,left,m,True,0.398787975311
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,7,Armut,negative,-200,right,Dezember,200,right,-200,left,1,hole,right,x,True,0.286655902863
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,8,Liebe,positive,200,right,Adresse,-200,left,-200,left,0.04,hole,left,x,True,0.398683071136
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,9,Frieden,positive,-200,right,Projektor,200,right,-200,left,0.04,hole,right,x,True,0.364229917526
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,10,Waffe,negative,200,right,Anruf,-200,left,-200,left,1,hole,left,x,True,0.422158002853
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,11,Leid,negative,200,right,Kaffee,-200,left,200,right,0.04,hole,left,m,True,0.408449172974
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,12,Pessimismus,negative,-200,right,Anzug,200,right,200,right,1,hole,right,m,True,0.335077047348
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,13,Geschenk,positive,200,right,Pullover,-200,left,-200,left,0.04,hole,left,x,True,0.39436507225
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,14,Horror,negative,200,right,Geburtstag,-200,left,-200,left,1,hole,left,x,True,0.363742828369
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,15,Sturz,negative,200,right,Brille,-200,left,-200,left,0.04,hole,left,x,True,0.412432909012
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,16,Totschlag,negative,200,right,Fernseher,-200,left,200,right,0.04,hole,left,m,True,0.347385168076
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,17,Ekel,negative,-200,right,Beschreibung,200,right,-200,left,1,hole,right,x,True,0.34365606308
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,18,Wunde,negative,200,right,Cola,-200,left,200,right,0.04,hole,right,m,True,0.359163045883
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,19,Mord,negative,-200,right,Gast,200,right,-200,left,0.04,hole,left,x,True,0.382907867432
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,20,Gestank,negative,200,right,Bestellung,-200,left,200,right,0.04,hole,left,m,True,0.361968994141
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,21,Trauer,negative,200,right,Oktober,-200,left,200,right,0.04,hole,left,m,True,0.43390583992
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,22,Schrei,negative,-200,right,Flur,200,right,-200,left,0.04,hole,right,x,True,0.310899972916
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,23,Bombe,negative,200,right,Eintrittskarte,-200,left,-200,left,0.04,hole,left,x,True,0.447338104248
Mimi,24,weiblich,Hufflepuff,die,Der Pate,36,3,24,Gefängnis,negative,200,right,November,-200,left,-200,left,0.04,hole,right,x,True,0.353449106216
