subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,0,Schatz,positive,-200,right,Zucker,200,right,200,right,1,cross,None,m,True,0.357151985168
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,1,Zufriedenheit,positive,-200,right,Flughafen,200,right,-200,left,0.04,cross,None,x,True,0.384072065353
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,2,Krankheit,negative,-200,right,Berg,200,right,-200,left,1,cross,None,x,True,0.356598138809
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,3,Panik,negative,200,right,Bahnhof,-200,left,200,right,1,cross,None,m,True,0.309819936752
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,4,Depression,negative,-200,right,Anruf,200,right,-200,left,1,cross,None,x,True,0.326880931854
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,5,Geisel,negative,-200,right,Juli,200,right,200,right,0.04,cross,None,m,True,0.361381053925
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,6,Rücksichtnahme,positive,-200,right,Park,200,right,-200,left,0.04,cross,None,x,True,0.912998914719
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,7,Zuverlässigkeit,positive,-200,right,Januar,200,right,200,right,0.04,cross,None,m,True,0.97875213623
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,8,Armut,negative,-200,right,Juni,200,right,200,right,1,cross,None,x,False,0.883475065231
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,9,Anschlag,negative,-200,right,Baum,200,right,-200,left,1,cross,None,x,True,0.586176872253
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,10,Belohnung,positive,-200,right,März,200,right,200,right,1,cross,None,x,False,0.540110111237
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,11,Freiheit,positive,-200,right,Kleiderhaken,200,right,200,right,1,cross,None,m,True,0.310617923737
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,12,Pessimismus,negative,200,right,Drucker,-200,left,-200,left,1,cross,None,x,True,0.570245027542
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,13,Sturz,negative,200,right,August,-200,left,200,right,1,cross,None,m,True,0.355561971664
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,14,Wohlbefinden,positive,-200,right,Laden,200,right,200,right,1,cross,None,m,True,0.388349056244
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,15,Totschlag,negative,-200,right,Pullover,200,right,200,right,0.04,cross,None,m,True,0.657253980637
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,16,Wunde,negative,200,right,Fernseher,-200,left,-200,left,1,cross,None,m,False,0.481096029282
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,17,Stärke,positive,-200,right,Zuschauer,200,right,-200,left,0.04,cross,None,x,True,0.478625059128
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,18,Verletzung,negative,200,right,Schrank,-200,left,-200,left,0.04,cross,None,m,False,0.473912000656
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,19,Unterstützung,positive,-200,right,Ausweis,200,right,-200,left,0.04,cross,None,x,True,0.476743936539
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,20,Frohsinn,positive,200,right,Apfelsine,-200,left,200,right,1,cross,None,m,True,0.327356100082
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,21,Trauer,negative,200,right,Bildschirm,-200,left,200,right,0.04,cross,None,m,True,0.550800085068
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,22,Terror,negative,200,right,Mai,-200,left,200,right,1,cross,None,m,True,0.733131885529
PFE,19,weiblich,Slytherin,die,Pulp Fiction,30,0,23,Koma,negative,-200,right,Teppich,200,right,200,right,1,cross,None,m,True,0.413156986237
