subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,0,Frieden,positive,200,right,Dezember,-200,left,-200,left,1,cross,None,x,True,0.59777879715
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,1,Harmonie,positive,200,right,Garten,-200,left,200,right,1,cross,None,m,True,0.533647060394
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,2,Übelkeit,negative,-200,right,Juni,200,right,-200,left,0.04,cross,None,x,True,0.596666812897
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,3,Geschenk,positive,-200,right,Kakao,200,right,-200,left,0.04,cross,None,x,True,0.648167848587
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,4,Unglück,negative,-200,right,Marktplatz,200,right,-200,left,0.04,cross,None,x,True,0.839666128159
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,5,Gerechtigkeit,positive,-200,right,Bedienung,200,right,200,right,1,cross,None,miss,False,-999
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,6,Wohlbefinden,positive,200,right,Füller,-200,left,200,right,0.04,cross,None,m,True,0.467811107635
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,7,Verehrung,positive,200,right,Monitor,-200,left,200,right,1,cross,None,m,True,0.295276165009
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,8,Tapferkeit,positive,200,right,Berg,-200,left,-200,left,1,cross,None,x,True,0.317419052124
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,9,Mut,positive,-200,right,Platz,200,right,200,right,1,cross,None,m,True,0.300203084946
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,10,Trennung,negative,200,right,Kunde,-200,left,200,right,1,cross,None,m,True,0.392451047897
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,11,Krieg,negative,200,right,Finger,-200,left,-200,left,0.04,cross,None,x,True,0.393075227737
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,12,Attraktivität,positive,200,right,Herr,-200,left,200,right,0.04,cross,None,m,True,0.29131603241
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,13,Eleganz,positive,200,right,Einwohner,-200,left,200,right,1,cross,None,m,True,0.316838026047
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,14,Krankheit,negative,200,right,August,-200,left,-200,left,0.04,cross,None,x,True,0.300469875336
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,15,Feind,negative,200,right,Löffel,-200,left,-200,left,0.04,cross,None,x,True,0.302030801773
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,16,Bereicherung,positive,200,right,Hut,-200,left,-200,left,1,cross,None,x,True,0.319909095764
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,17,Qual,negative,200,right,Brücke,-200,left,-200,left,1,cross,None,x,True,0.294944047928
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,18,Sicherheit,positive,-200,right,Passant,200,right,-200,left,1,cross,None,x,True,0.322810173035
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,19,Dankbarkeit,positive,-200,right,Apfel,200,right,-200,left,0.04,cross,None,x,True,0.306437969208
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,20,Ehrlichkeit,positive,-200,right,Laden,200,right,200,right,0.04,cross,None,m,True,0.303280115128
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,21,Wohlstand,positive,-200,right,Markt,200,right,200,right,1,cross,None,m,True,0.31894493103
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,22,Sturz,negative,-200,right,Tag,200,right,200,right,1,cross,None,m,True,0.264997005463
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,23,Verletzung,negative,-200,right,Tisch,200,right,200,right,1,cross,None,m,True,0.288008928299
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,0,24,Liebe,positive,200,right,Fußboden,-200,left,200,right,0.04,cross,None,m,True,0.312201023102
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,0,Schönheit,positive,200,right,Mai,-200,left,200,right,0.04,hole,right,m,True,0.288408994675
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,1,Leidenschaft,positive,-200,right,Dolmetscherin,200,right,200,right,1,hole,left,m,True,0.306658029556
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,2,Hass,negative,200,right,Cola,-200,left,-200,left,0.04,hole,left,m,False,0.29240489006
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,3,Solidarität,positive,-200,right,Koch,200,right,200,right,1,hole,right,m,True,0.303959131241
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,4,Verzweiflung,negative,200,right,Anzug,-200,left,-200,left,1,hole,left,x,True,0.321194887161
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,5,Armut,negative,200,right,Flughafen,-200,left,200,right,0.04,hole,right,m,True,0.275587081909
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,6,Bombe,negative,-200,right,Supermarkt,200,right,-200,left,1,hole,left,x,True,0.257898807526
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,7,Waffe,negative,-200,right,Schrank,200,right,200,right,1,hole,left,m,True,0.256427049637
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,8,Trauer,negative,200,right,Computer,-200,left,-200,left,1,hole,left,x,True,0.311033964157
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,9,Höflichkeit,positive,-200,right,Eile,200,right,-200,left,1,hole,left,x,True,0.299592971802
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,10,Stärke,positive,200,right,Drucker,-200,left,200,right,0.04,hole,left,m,True,0.297196149826
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,11,Tod,negative,200,right,Fahrschein,-200,left,200,right,0.04,hole,right,m,True,0.281698942184
Paulina,23,weiblich,Gryffindor,das,Pulp Fiction,40,1,12,Sympathie,positive,200,right,Ausweis,-200,left,200,right,1,hole,left,m,True,0.285020828247
