subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,0,Hilfsbereitschaft,positive,200,right,Kellner,-200,left,-200,left,1,cross,None,x,True,0.352195978165
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,1,Verletzung,negative,-200,right,Drucker,200,right,200,right,0.04,cross,None,m,True,0.400898933411
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,2,Trauer,negative,-200,right,Bestellung,200,right,200,right,1,cross,None,m,True,0.28887796402
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,3,Beliebtheit,positive,200,right,Stuhl,-200,left,-200,left,1,cross,None,m,False,0.436019897461
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,4,Tod,negative,200,right,Fußboden,-200,left,-200,left,0.04,cross,None,x,True,0.447657108307
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,5,Freundschaft,positive,200,right,Eintrittskarte,-200,left,200,right,1,cross,None,m,True,0.272505044937
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,6,Geisel,negative,-200,right,Tisch,200,right,-200,left,1,cross,None,x,True,0.276871919632
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,7,Wunde,negative,-200,right,Rock,200,right,-200,left,1,cross,None,x,True,0.350929021835
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,8,Trennung,negative,-200,right,Monitor,200,right,200,right,1,cross,None,m,True,0.313266038895
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,9,Panik,negative,-200,right,Cola,200,right,200,right,0.04,cross,None,m,True,0.392535209656
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,10,Attraktivität,positive,-200,right,Bankkarte,200,right,200,right,0.04,cross,None,m,True,0.407782077789
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,11,Belohnung,positive,-200,right,November,200,right,200,right,0.04,cross,None,m,True,0.394311904907
RM,25,männlich,Gryffindor,das,Pulp Fiction,35,0,12,Harmonie,positive,200,right,Füller,-200,left,200,right,0.04,cross,None,m,True,0.367323160172
