subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,0,Krieg,negative,200,right,Bildschirm,-200,left,-200,left,1,cross,None,x,True,0.345410108566
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,1,Regen,negative,200,right,Anruf,-200,left,-200,left,1,cross,None,x,True,0.34273982048
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,2,Anerkennung,positive,-200,right,Monitor,200,right,-200,left,1,cross,None,x,True,0.371854066849
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,3,Spaß,positive,-200,right,Dezember,200,right,-200,left,1,cross,None,x,True,0.415051937103
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,4,Schleim,negative,-200,right,Kunde,200,right,-200,left,0.04,cross,None,x,True,0.414765834808
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,5,Lebensfreude,positive,200,right,Park,-200,left,200,right,1,cross,None,m,True,0.322553873062
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,6,Wunde,negative,-200,right,Dusche,200,right,-200,left,1,cross,None,x,True,0.357955932617
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,7,Rache,negative,-200,right,Zuschauer,200,right,-200,left,1,cross,None,x,True,0.469820022583
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,8,Totschlag,negative,200,right,Kugelschrieber,-200,left,-200,left,1,cross,None,m,False,0.321943998337
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,9,Krankheit,negative,200,right,Cola,-200,left,-200,left,1,cross,None,x,True,0.358804941177
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,10,Optimismus,positive,200,right,Marktplatz,-200,left,200,right,1,cross,None,m,True,0.313556909561
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,11,Sicherheit,positive,-200,right,Herr,200,right,-200,left,1,cross,None,x,True,0.33561706543
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,12,Entspannung,positive,200,right,Sessel,-200,left,200,right,0.04,cross,None,m,True,0.459051847458
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,13,Freiheit,positive,200,right,Wind,-200,left,200,right,0.04,cross,None,m,True,0.48849606514
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,14,Schock,negative,200,right,Juli,-200,left,200,right,1,cross,None,m,True,0.325932025909
SL,35,weiblich,Gryffindor,die,Pulp Fiction,39,0,15,Mord,negative,-200,right,Bibliothek,200,right,-200,left,1,cross,None,x,True,0.317139148712
