subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,0,Verehrung,positive,200,right,Fernseher,-200,left,-200,left,0.04,cross,None,x,True,0.369592824951
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,1,Stärke,positive,-200,right,August,200,right,200,right,0.04,cross,None,m,True,0.374534642324
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,2,Belohnung,positive,200,right,Teppich,-200,left,200,right,1,cross,None,m,True,0.312862081453
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,3,Einsamkeit,negative,200,right,Juni,-200,left,200,right,0.04,cross,None,x,False,0.30204279162
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,4,Tapferkeit,positive,-200,right,Brücke,200,right,200,right,0.04,cross,None,m,True,0.336773416027
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,5,Kraft,positive,200,right,Einwohner,-200,left,200,right,0.04,cross,None,m,True,0.310299701989
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,6,Schrott,negative,-200,right,Baum,200,right,200,right,1,cross,None,m,True,0.271826066077
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,7,Tod,negative,200,right,Kugelschrieber,-200,left,200,right,0.04,cross,None,m,True,0.23835786432
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,8,Angst,negative,-200,right,Platz,200,right,200,right,0.04,cross,None,m,True,0.315525218844
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,9,Wut,negative,200,right,Fußboden,-200,left,-200,left,0.04,cross,None,m,False,0.313283680007
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,10,Unglück,negative,-200,right,Passant,200,right,-200,left,1,cross,None,x,True,0.319128750823
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,11,Schönheit,positive,200,right,Kleiderhaken,-200,left,200,right,0.04,cross,None,m,True,0.222328466363
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,12,Harmonie,positive,200,right,März,-200,left,-200,left,1,cross,None,x,True,0.370423375629
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,13,Mord,negative,-200,right,Projektor,200,right,200,right,0.04,cross,None,m,True,0.313729774207
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,14,Horror,negative,200,right,Bank,-200,left,200,right,0.04,cross,None,m,True,0.29188217409
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,15,Neid,negative,200,right,Bus,-200,left,-200,left,1,cross,None,x,True,0.297283126973
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,16,Dankbarkeit,positive,200,right,Dose,-200,left,200,right,0.04,cross,None,m,True,0.385444020852
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,17,Reichtum,positive,-200,right,Supermarkt,200,right,200,right,0.04,cross,None,m,True,0.32386629004
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,18,Dummheit,negative,200,right,Markt,-200,left,200,right,0.04,cross,None,m,True,0.357741865329
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,19,Schock,negative,-200,right,Finger,200,right,-200,left,0.04,cross,None,x,True,0.379952585325
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,20,Pessimismus,negative,-200,right,Bibliothek,200,right,200,right,1,cross,None,m,True,0.32280854322
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,21,Unfall,negative,-200,right,Herr,200,right,200,right,1,cross,None,m,True,0.254439022392
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,22,Erfolg,positive,-200,right,Tisch,200,right,-200,left,1,cross,None,x,True,0.487707686611
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,23,Herzlichkeit,positive,200,right,Decke,-200,left,-200,left,0.04,cross,None,x,True,0.586877926253
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,0,24,Spaß,positive,-200,right,Schinken,200,right,200,right,1,cross,None,m,True,0.372996029444
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,0,Zufriedenheit,positive,-200,right,Bluse,200,right,200,right,0.04,hole,right,m,True,0.368220557459
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,1,Ehrlichkeit,positive,-200,right,Marktplatz,200,right,200,right,1,hole,right,m,True,0.304116403684
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,2,Vergnügen,positive,-200,right,RadiergummI,200,right,-200,left,1,hole,right,x,True,0.417001797818
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,3,Bombe,negative,-200,right,Drucker,200,right,200,right,0.04,hole,left,m,True,0.382473477162
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,4,Totschlag,negative,-200,right,Januar,200,right,200,right,0.04,hole,right,m,True,0.51020289585
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,5,Krieg,negative,-200,right,Locher,200,right,200,right,1,hole,right,m,True,0.313311337493
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,6,Gefängnis,negative,200,right,Pullover,-200,left,200,right,1,hole,right,m,True,0.375593179837
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,7,Waffe,negative,200,right,Hut,-200,left,200,right,0.04,hole,right,m,True,0.453506924212
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,8,Geschenk,positive,-200,right,Löffel,200,right,-200,left,0.04,hole,left,x,True,0.861860639416
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,9,Genuss,positive,200,right,Gast,-200,left,-200,left,1,hole,left,x,True,0.625581523404
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,10,Verzweiflung,negative,-200,right,Sessel,200,right,200,right,0.04,hole,right,m,True,0.632997609675
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,11,Schatz,positive,-200,right,Park,200,right,200,right,0.04,hole,left,m,True,0.365870360285
Slo Li,31,weiblich,Hufflepuff,die,Der Pate,43,1,12,Liebe,positive,-200,right,Zeiger,200,right,200,right,0.04,hole,right,m,True,0.309343106113
