subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,0,Neid,negative,200,right,Kleiderhaken,-200,left,-200,left,0.04,cross,None,x,True,0.515308295377
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,1,Mord,negative,-200,right,Rock,200,right,200,right,0.04,cross,None,m,True,0.406099927612
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,2,Stärke,positive,-200,right,Beschreibung,200,right,200,right,0.04,cross,None,m,True,0.39550467208
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,3,Schrei,negative,200,right,Kugelschrieber,-200,left,200,right,0.04,cross,None,m,True,0.349163324572
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,4,Höflichkeit,positive,200,right,August,-200,left,-200,left,0.04,cross,None,x,True,0.305756563321
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,5,Geisel,negative,200,right,Dusche,-200,left,200,right,1,cross,None,m,True,0.352170219645
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,6,Lebensfreude,positive,-200,right,Strumpf,200,right,-200,left,1,cross,None,x,True,0.47254282143
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,7,Unfall,negative,200,right,Juni,-200,left,200,right,1,cross,None,m,True,0.372003872879
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,8,Schatz,positive,200,right,Brille,-200,left,200,right,1,cross,None,m,True,0.369772211649
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,9,Folter,negative,-200,right,Drucker,200,right,200,right,0.04,cross,None,m,True,0.443160203286
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,10,Regen,negative,200,right,Bankkarte,-200,left,200,right,1,cross,None,m,True,0.340666969307
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,11,Panik,negative,200,right,Zucker,-200,left,200,right,1,cross,None,m,True,0.298037023284
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,12,Verletzung,negative,-200,right,Dolmetscherin,200,right,200,right,1,cross,None,m,True,0.3203473147
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,13,Übelkeit,negative,200,right,Bestellung,-200,left,-200,left,0.04,cross,None,x,True,0.375748463906
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,14,Bewunderung,positive,200,right,Stuhl,-200,left,-200,left,1,cross,None,x,True,0.420856233686
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,15,Angst,negative,-200,right,Hut,200,right,200,right,0.04,cross,None,m,True,0.30382164102
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,16,Attraktivität,positive,-200,right,Bluse,200,right,-200,left,1,cross,None,x,True,0.32449216675
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,17,Bereicherung,positive,200,right,Sessel,-200,left,-200,left,0.04,cross,None,x,True,0.349230100401
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,18,Tod,negative,200,right,Cola,-200,left,-200,left,1,cross,None,x,True,0.323175217025
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,19,Heimweh,negative,200,right,Projektor,-200,left,200,right,0.04,cross,None,m,True,0.342043977231
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,20,Leid,negative,200,right,Bank,-200,left,-200,left,1,cross,None,x,True,0.285941086709
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,21,Depression,negative,200,right,Einwohner,-200,left,200,right,0.04,cross,None,m,True,0.369108797982
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,22,Frieden,positive,-200,right,Balkon,200,right,200,right,1,cross,None,m,True,0.311468479224
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,23,Terror,negative,-200,right,Adresse,200,right,-200,left,0.04,cross,None,x,True,0.373566983268
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,0,24,Freiheit,positive,200,right,Löffel,-200,left,-200,left,0.04,cross,None,x,True,0.386912302114
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,0,Ekel,negative,-200,right,Bus,200,right,-200,left,1,hole,right,x,True,0.48638797272
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,1,Schmerz,negative,-200,right,Füller,200,right,-200,left,0.04,hole,left,x,True,0.504061480984
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,2,Glück,positive,200,right,Bahnhof,-200,left,-200,left,1,hole,left,x,True,0.366086888127
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,3,Verehrung,positive,200,right,Supermarkt,-200,left,200,right,0.04,hole,left,m,True,0.921022581868
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,4,Entspannung,positive,-200,right,Brücke,200,right,-200,left,1,hole,left,x,True,0.528988284059
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,5,Krankheit,negative,-200,right,Monitor,200,right,-200,left,0.04,hole,right,x,True,0.722403540276
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,6,Droge,negative,200,right,Flur,-200,left,200,right,0.04,hole,right,m,True,0.481263606809
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,7,Verzweiflung,negative,-200,right,Oktober,200,right,-200,left,1,hole,left,x,True,0.609606258571
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,8,Sicherheit,positive,200,right,April,-200,left,200,right,0.04,hole,right,m,True,0.428229250945
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,9,Dummheit,negative,200,right,Garten,-200,left,-200,left,1,hole,left,x,True,0.400018570945
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,10,Geschenk,positive,200,right,Finger,-200,left,200,right,0.04,hole,left,m,True,0.571956852451
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,11,Wunde,negative,-200,right,Wind,200,right,200,right,0.04,hole,left,m,True,0.325252780691
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,12,Sympathie,positive,-200,right,Apfel,200,right,-200,left,0.04,hole,left,x,True,0.460316495039
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,13,Gefängnis,negative,-200,right,Flughafen,200,right,200,right,1,hole,right,m,True,0.332060375251
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,14,Qual,negative,-200,right,Fußboden,200,right,-200,left,1,hole,left,x,True,0.331864393316
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,15,Schrott,negative,-200,right,Laden,200,right,200,right,1,hole,left,m,True,0.286504534073
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,16,Totschlag,negative,-200,right,Anruf,200,right,-200,left,0.04,hole,left,x,True,0.342874527909
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,17,Reichtum,positive,-200,right,Park,200,right,200,right,1,hole,left,m,True,0.274726278149
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,18,Tapferkeit,positive,-200,right,Geburtstag,200,right,200,right,1,hole,right,m,True,0.300359958783
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,19,Spaß,positive,-200,right,Locher,200,right,200,right,1,hole,right,x,False,0.305150047876
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,20,Gestank,negative,-200,right,Bibliothek,200,right,200,right,0.04,hole,left,m,True,0.37393523939
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,21,Dankbarkeit,positive,-200,right,Zuschauer,200,right,-200,left,0.04,hole,right,x,True,0.314043898135
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,22,Beliebtheit,positive,-200,right,Herr,200,right,200,right,0.04,hole,left,m,True,0.294058122672
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,23,Belohnung,positive,-200,right,Kaffee,200,right,-200,left,1,hole,left,x,True,0.337863958441
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,1,24,Waffe,negative,-200,right,Schinken,200,right,-200,left,1,hole,right,x,True,0.29686508514
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,0,Hilfsbereitschaft,positive,200,right,Fernseher,-200,left,200,right,1,cross,None,m,True,0.345596143045
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,1,Anerkennung,positive,200,right,Tag,-200,left,-200,left,0.04,cross,None,x,True,0.613558290526
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,2,Eleganz,positive,-200,right,Hafen,200,right,200,right,1,cross,None,m,True,0.308492403477
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,3,Unglück,negative,-200,right,Juli,200,right,-200,left,1,cross,None,x,True,0.358846631832
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,4,Rache,negative,200,right,Februar,-200,left,200,right,1,cross,None,m,True,0.343948476017
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,5,Sucht,negative,200,right,Kellner,-200,left,-200,left,1,cross,None,x,True,0.272277693264
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,6,Feind,negative,200,right,Markt,-200,left,-200,left,1,cross,None,x,True,0.33445443213
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,7,Schock,negative,200,right,Dezember,-200,left,-200,left,1,cross,None,x,True,0.300189659931
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,8,Unterstützung,positive,-200,right,November,200,right,-200,left,1,cross,None,x,True,0.3137519015
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,9,Hass,negative,200,right,Pass,-200,left,200,right,0.04,cross,None,m,True,0.433422763832
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,10,Armut,negative,200,right,Koch,-200,left,200,right,0.04,cross,None,m,True,0.383159807883
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,11,Anschlag,negative,-200,right,Teppich,200,right,-200,left,1,cross,None,x,True,0.266566962935
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,12,Erfolg,positive,200,right,Platz,-200,left,200,right,1,cross,None,m,True,0.290480668657
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,13,Rücksichtnahme,positive,200,right,Schlüssel,-200,left,-200,left,1,cross,None,x,True,0.273814726621
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,14,Herzlichkeit,positive,-200,right,Marktplatz,200,right,200,right,1,cross,None,m,True,0.298310449347
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,15,Schönheit,positive,200,right,Name,-200,left,-200,left,1,cross,None,x,True,0.254627496935
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,16,Koma,negative,200,right,Diskette,-200,left,200,right,0.04,cross,None,m,True,0.329454926774
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,17,Mut,positive,-200,right,Septmeber,200,right,200,right,0.04,cross,None,m,True,0.371460576542
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,18,Optimismus,positive,200,right,Tisch,-200,left,-200,left,1,cross,None,x,True,0.563298101537
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,19,Leidenschaft,positive,-200,right,Apfelsine,200,right,-200,left,1,cross,None,x,True,0.300140269101
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,20,Frohsinn,positive,-200,right,Apotheke,200,right,200,right,0.04,cross,None,m,True,0.347158464603
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,21,Bombe,negative,200,right,Pullover,-200,left,200,right,0.04,cross,None,m,True,0.375964596868
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,22,Wut,negative,200,right,Zug,-200,left,200,right,1,cross,None,m,True,0.307128435001
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,23,Kraft,positive,200,right,Mai,-200,left,-200,left,1,cross,None,x,True,0.378775115125
dsghdh,31,männlich,Hufflepuff,das,Der Pate,40,2,24,Einsamkeit,negative,200,right,Kunde,-200,left,200,right,0.04,cross,None,m,True,0.353762964718
