subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,0,Panik,negative,-200,right,Stuhl,200,right,200,right,1,cross,None,m,True,0.383795563132
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,1,Bombe,negative,200,right,Kunde,-200,left,-200,left,1,cross,None,x,True,0.364509551786
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,2,Totschlag,negative,-200,right,Januar,200,right,-200,left,0.04,cross,None,x,True,0.526103482582
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,3,Anschlag,negative,-200,right,Flughafen,200,right,200,right,0.04,cross,None,m,True,0.39390283823
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,4,Feind,negative,200,right,Gast,-200,left,-200,left,0.04,cross,None,x,True,0.398932768963
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,5,Treue,positive,-200,right,Dienstag,200,right,-200,left,0.04,cross,None,x,True,0.397493332624
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,6,Schock,negative,200,right,Bank,-200,left,200,right,1,cross,None,m,True,0.392816642299
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,7,Erfolg,positive,200,right,Tisch,-200,left,200,right,0.04,cross,None,m,True,0.407272259705
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,8,Tapferkeit,positive,-200,right,Marktplatz,200,right,200,right,1,cross,None,m,True,0.377431693487
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,9,Koma,negative,200,right,Passant,-200,left,-200,left,1,cross,None,x,True,0.370416263118
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,10,Schönheit,positive,-200,right,Kugelschrieber,200,right,-200,left,1,cross,None,x,True,0.356663966551
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,11,Geschenk,positive,200,right,Fahrschein,-200,left,-200,left,1,cross,None,x,True,0.399163126945
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,12,Qual,negative,-200,right,Bedienung,200,right,200,right,0.04,cross,None,m,True,0.514919098467
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,13,Terror,negative,200,right,Monitor,-200,left,-200,left,0.04,cross,None,x,True,0.41560226772
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,14,Vergnügen,positive,-200,right,Bibliothek,200,right,-200,left,1,cross,None,x,True,0.437976174057
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,15,Dummheit,negative,200,right,Einwohner,-200,left,200,right,1,cross,None,m,True,0.373945906758
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,16,Unfall,negative,200,right,Name,-200,left,-200,left,0.04,cross,None,x,True,0.539642808028
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,17,Höflichkeit,positive,-200,right,Park,200,right,200,right,1,cross,None,m,True,0.499713139609
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,18,Ehrlichkeit,positive,-200,right,Decke,200,right,200,right,0.04,cross,None,m,True,0.425962423906
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,19,Sicherheit,positive,200,right,Zuschauer,-200,left,200,right,0.04,cross,None,m,True,0.416476678103
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,20,Schatz,positive,-200,right,Schlüssel,200,right,200,right,1,cross,None,m,True,0.42325503286
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,21,Bereicherung,positive,-200,right,Teppich,200,right,-200,left,1,cross,None,x,True,0.363555327058
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,22,Geisel,negative,-200,right,Apfel,200,right,-200,left,0.04,cross,None,x,True,0.457835905254
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,23,Hässlichkeit,negative,-200,right,Brille,200,right,200,right,0.04,cross,None,m,True,0.345986131579
pula,28,weiblich,Hufflepuff,die,Der Pate,39,0,24,Frieden,positive,-200,right,Mai,200,right,200,right,1,cross,None,m,True,0.388227670453
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,0,Krieg,negative,-200,right,Dezember,200,right,200,right,0.04,hole,right,m,True,0.356804235838
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,1,Anerkennung,positive,200,right,Koch,-200,left,-200,left,1,hole,right,x,True,0.409757985733
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,2,Übelkeit,negative,-200,right,Brücke,200,right,-200,left,1,hole,right,x,True,0.412005057558
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,3,Einsamkeit,negative,-200,right,Keller,200,right,-200,left,1,hole,left,x,True,0.559355552308
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,4,Spaß,positive,200,right,Ausweis,-200,left,-200,left,0.04,hole,left,x,True,0.431344804354
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,5,Liebe,positive,200,right,Diskette,-200,left,-200,left,1,hole,left,x,True,0.409497600049
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,6,Unterstützung,positive,200,right,Projektor,-200,left,-200,left,0.04,hole,right,x,True,0.41210146714
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,7,Rache,negative,200,right,Tag,-200,left,-200,left,1,hole,left,x,True,0.422322934493
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,8,Droge,negative,200,right,Bestellung,-200,left,-200,left,1,hole,right,x,True,0.416290178895
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,9,Lachen,positive,200,right,Kaffee,-200,left,200,right,1,hole,right,m,True,0.391562518664
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,10,Sturz,negative,200,right,Dolmetscherin,-200,left,200,right,1,hole,left,m,True,0.399137443863
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,11,Eleganz,positive,200,right,Bildschirm,-200,left,-200,left,0.04,hole,left,x,True,0.455227294937
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,12,Freiheit,positive,-200,right,Wind,200,right,-200,left,0.04,hole,right,x,True,0.416738645174
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,13,Wunde,negative,-200,right,Anruf,200,right,200,right,1,hole,left,m,True,0.381751585752
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,14,Schleim,negative,-200,right,Markt,200,right,200,right,0.04,hole,left,m,True,0.40779698547
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,15,Harmonie,positive,-200,right,Baum,200,right,-200,left,1,hole,left,x,True,0.388588023372
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,16,Waffe,negative,200,right,Balkon,-200,left,200,right,0.04,hole,left,m,True,0.392291127704
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,17,Folter,negative,200,right,Cola,-200,left,200,right,1,hole,left,m,True,0.394745243713
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,18,Neid,negative,-200,right,Herr,200,right,200,right,1,hole,left,m,True,0.396971373819
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,19,Solidarität,positive,-200,right,November,200,right,-200,left,1,hole,right,x,True,0.414051800035
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,20,Sucht,negative,-200,right,Kakao,200,right,-200,left,1,hole,left,x,True,0.47275855951
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,21,Schrei,negative,200,right,Dose,-200,left,-200,left,1,hole,right,x,True,0.362722010352
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,22,Gefängnis,negative,200,right,April,-200,left,200,right,0.04,hole,right,m,True,0.386639666744
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,23,Angst,negative,200,right,Garten,-200,left,200,right,1,hole,left,m,True,0.380820278078
pula,28,weiblich,Hufflepuff,die,Der Pate,39,1,24,Ekel,negative,-200,right,Drucker,200,right,200,right,1,hole,left,m,True,0.379274156876
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,0,Glück,positive,-200,right,Zeiger,200,right,-200,left,0.04,cross,None,x,True,0.450417843647
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,1,Hilfsbereitschaft,positive,200,right,Kleiderhaken,-200,left,-200,left,0.04,cross,None,x,True,0.436576643959
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,2,Trennung,negative,200,right,Bus,-200,left,200,right,0.04,cross,None,m,True,0.392826125026
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,3,Gestank,negative,-200,right,Laden,200,right,200,right,0.04,cross,None,m,True,0.486544442363
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,4,Beliebtheit,positive,-200,right,Locher,200,right,200,right,0.04,cross,None,m,True,0.432378844358
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,5,Leidenschaft,positive,200,right,Füller,-200,left,200,right,0.04,cross,None,m,True,0.395417744294
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,6,Entspannung,positive,-200,right,Dusche,200,right,200,right,1,cross,None,m,True,0.429881660268
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,7,Freundschaft,positive,200,right,Flur,-200,left,200,right,0.04,cross,None,m,True,0.436018728651
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,8,Sympathie,positive,200,right,Berg,-200,left,200,right,1,cross,None,m,True,0.374498291872
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,9,Unglück,negative,200,right,Fernseher,-200,left,200,right,0.04,cross,None,m,True,0.38823359739
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,10,Horror,negative,200,right,Eintrittskarte,-200,left,-200,left,1,cross,None,x,True,0.441249382682
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,11,Dankbarkeit,positive,-200,right,Apfelsine,200,right,-200,left,1,cross,None,x,True,0.411905091256
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,12,Leid,negative,200,right,Oktober,-200,left,200,right,0.04,cross,None,m,True,0.407274630852
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,13,Frohsinn,positive,-200,right,Tee,200,right,-200,left,0.04,cross,None,x,True,0.404545113444
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,14,Hass,negative,-200,right,Geburtstag,200,right,-200,left,0.04,cross,None,x,True,0.422278285958
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,15,Genuss,positive,200,right,Schrank,-200,left,200,right,0.04,cross,None,m,True,0.357969061472
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,16,Wohlstand,positive,-200,right,Februar,200,right,200,right,1,cross,None,m,True,0.372431396507
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,17,Schmerz,negative,-200,right,Bankkarte,200,right,-200,left,0.04,cross,None,x,True,0.35306003876
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,18,Trauer,negative,-200,right,Bahnhof,200,right,-200,left,1,cross,None,x,True,0.375463973731
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,19,Kostbarkeit,positive,200,right,Kellner,-200,left,200,right,1,cross,None,m,True,0.275213860907
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,20,Müll,negative,-200,right,Eile,200,right,-200,left,0.04,cross,None,x,True,0.464053183794
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,21,Depression,negative,-200,right,Septmeber,200,right,-200,left,1,cross,None,x,True,0.375350968912
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,22,Mord,negative,200,right,Fuß,-200,left,-200,left,0.04,cross,None,x,True,0.377207657322
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,23,Gesundheit,positive,-200,right,Hut,200,right,200,right,1,cross,None,m,True,0.364213209599
pula,28,weiblich,Hufflepuff,die,Der Pate,39,2,24,Herzlichkeit,positive,-200,right,Strumpf,200,right,-200,left,0.04,cross,None,x,True,0.549908133224
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,0,Heimweh,negative,200,right,Supermarkt,-200,left,-200,left,1,hole,left,x,True,0.442319773138
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,1,Stärke,positive,200,right,Juli,-200,left,200,right,1,hole,right,m,True,0.401820732281
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,2,Zufriedenheit,positive,200,right,Computer,-200,left,-200,left,0.04,hole,left,x,True,0.410213959403
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,3,Tod,negative,200,right,Wagen,-200,left,200,right,1,hole,left,m,True,0.363119505346
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,4,Rücksichtnahme,positive,-200,right,August,200,right,200,right,1,hole,right,m,True,0.44555267971
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,5,Wut,negative,-200,right,Löffel,200,right,-200,left,0.04,hole,right,x,True,0.422141572461
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,6,Regen,negative,-200,right,Sessel,200,right,-200,left,0.04,hole,right,x,True,0.456132920459
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,7,Mut,positive,200,right,Beschreibung,-200,left,200,right,1,hole,right,m,True,0.403892762959
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,8,Bewunderung,positive,-200,right,Apotheke,200,right,200,right,0.04,hole,right,m,True,0.430578659289
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,9,Verletzung,negative,-200,right,Zucker,200,right,200,right,0.04,hole,left,m,True,0.372312464751
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,10,Belohnung,positive,-200,right,Juni,200,right,-200,left,1,hole,right,x,True,0.433091253974
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,11,Verzweiflung,negative,200,right,Rock,-200,left,-200,left,0.04,hole,left,x,True,0.407488393597
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,12,Optimismus,positive,-200,right,Pass,200,right,-200,left,1,hole,right,x,True,0.43019341398
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,13,Krankheit,negative,200,right,Finger,-200,left,-200,left,0.04,hole,right,x,True,0.588661121204
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,14,Armut,negative,-200,right,Schinken,200,right,-200,left,1,hole,right,x,True,0.42251259461
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,15,Pessimismus,negative,200,right,März,-200,left,-200,left,0.04,hole,left,x,True,0.420677637681
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,16,Schrott,negative,200,right,Anzug,-200,left,200,right,1,hole,right,m,True,0.448671000078
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,17,Wohlbefinden,positive,-200,right,Platz,200,right,-200,left,1,hole,right,x,True,0.353244166821
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,18,Kraft,positive,200,right,Fußboden,-200,left,-200,left,0.04,hole,right,x,True,0.468149831519
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,19,Attraktivität,positive,-200,right,Adresse,200,right,200,right,1,hole,left,m,True,0.371545922942
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,20,Gerechtigkeit,positive,200,right,Zug,-200,left,-200,left,0.04,hole,left,x,True,0.428267578594
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,21,Verehrung,positive,200,right,Bluse,-200,left,200,right,1,hole,left,m,True,0.452690202743
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,22,Lebensfreude,positive,-200,right,Hafen,200,right,-200,left,0.04,hole,right,x,True,0.44931505248
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,23,Reichtum,positive,-200,right,RadiergummI,200,right,200,right,0.04,hole,left,m,True,0.467899717391
pula,28,weiblich,Hufflepuff,die,Der Pate,39,3,24,Zuverlässigkeit,positive,-200,right,Pullover,200,right,-200,left,0.04,hole,right,x,True,0.4098026352
