subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,0,Hass,negative,200,right,Flughafen,-200,left,-200,left,1,cross,None,x,True,0.313849101774
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,1,Mut,positive,-200,right,Beschreibung,200,right,200,right,1,cross,None,m,True,0.30885354802
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,2,Sicherheit,positive,200,right,Tisch,-200,left,200,right,0.04,cross,None,m,True,0.375260485336
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,3,Freundschaft,positive,200,right,Kleiderhaken,-200,left,200,right,1,cross,None,m,True,0.299371752888
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,4,Glück,positive,-200,right,Eintrittskarte,200,right,200,right,0.04,cross,None,m,True,0.35840685945
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,5,Schönheit,positive,200,right,Cola,-200,left,-200,left,0.04,cross,None,x,True,0.335199241526
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,6,Herzlichkeit,positive,200,right,August,-200,left,200,right,1,cross,None,m,True,0.29454175476
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,7,Schock,negative,-200,right,Rock,200,right,200,right,0.04,cross,None,m,True,0.34726001136
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,8,Optimismus,positive,-200,right,Drucker,200,right,200,right,1,cross,None,m,True,0.324626508169
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,9,Depression,negative,200,right,Bibliothek,-200,left,-200,left,0.04,cross,None,x,True,0.381841673516
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,10,Vergnügen,positive,-200,right,Adresse,200,right,-200,left,0.04,cross,None,x,True,0.386310922913
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,11,Belohnung,positive,-200,right,Balkon,200,right,200,right,1,cross,None,m,True,0.305941876955
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,12,Rücksichtnahme,positive,-200,right,Zeiger,200,right,200,right,1,cross,None,m,True,0.289245510474
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,13,Qual,negative,-200,right,Stuhl,200,right,-200,left,1,cross,None,m,False,0.281360017136
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,14,Hässlichkeit,negative,-200,right,Kaffee,200,right,200,right,0.04,cross,None,m,True,0.337206076831
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,15,Genuss,positive,200,right,Mai,-200,left,-200,left,0.04,cross,None,x,True,0.320459134877
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,16,Panik,negative,200,right,Eile,-200,left,-200,left,1,cross,None,x,True,0.307065610774
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,17,Angst,negative,-200,right,Kunde,200,right,-200,left,0.04,cross,None,x,True,0.364303297363
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,18,Eleganz,positive,-200,right,Kakao,200,right,-200,left,1,cross,None,x,True,0.315778888762
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,19,Bereicherung,positive,-200,right,Strumpf,200,right,-200,left,0.04,cross,None,x,True,0.33896003291
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,20,Wunde,negative,-200,right,Apfel,200,right,-200,left,1,cross,None,x,True,0.295147085562
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,21,Zufriedenheit,positive,-200,right,Passant,200,right,-200,left,0.04,cross,None,x,True,0.368314202875
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,22,Wohlbefinden,positive,-200,right,Einwohner,200,right,-200,left,1,cross,None,x,True,0.353728194721
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,23,Zuverlässigkeit,positive,200,right,Name,-200,left,-200,left,0.04,cross,None,x,True,0.400056107901
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,0,24,Wut,negative,-200,right,Bestellung,200,right,-200,left,1,cross,None,x,True,0.305523046292
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,0,Freiheit,positive,-200,right,Schrank,200,right,200,right,1,hole,left,m,True,0.362959085032
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,1,Sympathie,positive,200,right,Tag,-200,left,-200,left,0.04,hole,left,x,True,0.3619009424
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,2,Unfall,negative,-200,right,Fahrschein,200,right,-200,left,0.04,hole,left,x,True,0.337038938887
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,3,Kraft,positive,-200,right,Markt,200,right,200,right,0.04,hole,right,m,True,0.372346050106
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,4,Frohsinn,positive,-200,right,Schinken,200,right,-200,left,0.04,hole,left,x,True,0.305274117738
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,5,Tapferkeit,positive,200,right,Diskette,-200,left,200,right,1,hole,right,m,True,0.342737815343
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,6,Harmonie,positive,200,right,Dienstag,-200,left,-200,left,1,hole,right,x,True,0.35193828214
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,7,Hilfsbereitschaft,positive,-200,right,Locher,200,right,-200,left,0.04,hole,left,x,True,0.366393899545
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,8,Rache,negative,-200,right,Park,200,right,200,right,1,hole,right,m,True,0.301847600378
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,9,Krankheit,negative,-200,right,Bahnhof,200,right,-200,left,1,hole,left,x,True,0.295811288059
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,10,Pessimismus,negative,-200,right,Februar,200,right,200,right,1,hole,right,m,True,0.302383784205
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,11,Schleim,negative,200,right,Projektor,-200,left,200,right,0.04,hole,left,m,True,0.438086018898
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,12,Mord,negative,-200,right,Apfelsine,200,right,-200,left,0.04,hole,left,x,True,0.372016120702
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,13,Lachen,positive,-200,right,Computer,200,right,200,right,1,hole,left,m,True,0.333714759909
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,14,Heimweh,negative,-200,right,Füller,200,right,200,right,1,hole,left,m,True,0.320276191458
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,15,Entspannung,positive,-200,right,Fernseher,200,right,200,right,0.04,hole,right,m,True,0.389953968115
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,16,Dummheit,negative,200,right,Ausweis,-200,left,-200,left,1,hole,left,x,True,0.338466523215
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,17,Anerkennung,positive,200,right,März,-200,left,200,right,0.04,hole,left,m,True,0.41966572497
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,18,Solidarität,positive,200,right,Keller,-200,left,-200,left,1,hole,left,x,True,0.351027916186
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,19,Stärke,positive,200,right,Decke,-200,left,-200,left,1,hole,right,x,True,0.341427188367
Bo Red,28,weiblich,Hufflepuff,die,Der Pate,39,1,20,Bombe,negative,-200,right,Hafen,200,right,-200,left,0.04,hole,left,x,True,0.427641306072
