subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,0,Übelkeit,negative,-200,right,Kugelschrieber,200,right,200,right,0.04,cross,None,m,True,0.371459960938
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,1,Schleim,negative,200,right,Laden,-200,left,200,right,1,cross,None,m,True,0.336692094803
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,2,Ehrlichkeit,positive,-200,right,Computer,200,right,-200,left,0.04,cross,None,x,True,0.365695953369
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,3,Schrei,negative,-200,right,Zuschauer,200,right,200,right,1,cross,None,m,True,0.288907051086
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,4,Harmonie,positive,200,right,Kunde,-200,left,-200,left,1,cross,None,x,True,0.292751073837
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,5,Ekel,negative,200,right,Kakao,-200,left,200,right,1,cross,None,m,True,0.309499979019
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,6,Gestank,negative,-200,right,Bibliothek,200,right,-200,left,0.04,cross,None,x,True,0.327461004257
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,7,Verehrung,positive,200,right,November,-200,left,-200,left,0.04,cross,None,x,True,0.333462953568
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,8,Optimismus,positive,200,right,Sessel,-200,left,-200,left,1,cross,None,x,True,0.366991996765
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,9,Sturz,negative,200,right,Decke,-200,left,-200,left,0.04,cross,None,x,True,0.321757078171
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,10,Geschenk,positive,200,right,Bestellung,-200,left,200,right,0.04,cross,None,m,True,0.314670085907
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,11,Bewunderung,positive,-200,right,Berg,200,right,-200,left,1,cross,None,x,True,0.319756984711
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,12,Solidarität,positive,200,right,Finger,-200,left,200,right,0.04,cross,None,m,True,0.378409862518
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,13,Depression,negative,200,right,August,-200,left,200,right,1,cross,None,m,True,0.32396197319
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,14,Hässlichkeit,negative,200,right,Stuhl,-200,left,200,right,1,cross,None,m,True,0.319379091263
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,15,Wunde,negative,200,right,Kleiderhaken,-200,left,200,right,0.04,cross,None,m,True,0.310771942139
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,16,Qual,negative,200,right,Bildschirm,-200,left,-200,left,1,cross,None,x,True,0.375812768936
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,17,Wut,negative,-200,right,Bus,200,right,200,right,1,cross,None,m,True,0.285807132721
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,18,Regen,negative,200,right,Löffel,-200,left,-200,left,1,cross,None,x,True,0.320490837097
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,19,Verzweiflung,negative,200,right,Koch,-200,left,200,right,0.04,cross,None,m,True,0.462412118912
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,20,Tod,negative,200,right,Brücke,-200,left,-200,left,1,cross,None,x,True,0.563648939133
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,21,Gerechtigkeit,positive,200,right,Flur,-200,left,200,right,1,cross,None,m,True,0.444941997528
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,22,Rache,negative,-200,right,Septmeber,200,right,-200,left,1,cross,None,x,True,0.571208953857
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,23,Zufriedenheit,positive,-200,right,Anzug,200,right,-200,left,1,cross,None,x,True,0.519243001938
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,0,24,Horror,negative,200,right,Eintrittskarte,-200,left,-200,left,0.04,cross,None,x,True,0.54508805275
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,0,Genuss,positive,200,right,Flughafen,-200,left,200,right,1,hole,right,m,True,0.857766866684
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,1,Herzlichkeit,positive,-200,right,Balkon,200,right,-200,left,0.04,hole,right,x,True,0.387208938599
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,2,Droge,negative,200,right,Diskette,-200,left,200,right,1,hole,left,m,True,0.462646007538
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,3,Spaß,positive,200,right,Drucker,-200,left,-200,left,1,hole,right,x,True,0.309798955917
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,4,Armut,negative,200,right,März,-200,left,200,right,1,hole,right,m,True,0.3033618927
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,5,Mord,negative,-200,right,Locher,200,right,200,right,1,hole,right,m,True,0.310507059097
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,6,Leidenschaft,positive,-200,right,Bedienung,200,right,200,right,0.04,hole,right,m,True,0.424508094788
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,7,Entspannung,positive,-200,right,Fernseher,200,right,200,right,1,hole,left,m,True,0.296829938889
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,8,Feind,negative,-200,right,Garten,200,right,200,right,1,hole,right,m,True,0.361284971237
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,9,Unterstützung,positive,200,right,April,-200,left,200,right,1,hole,left,m,True,0.321089982986
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,10,Schrott,negative,200,right,Monitor,-200,left,200,right,0.04,hole,left,m,True,0.310835123062
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,11,Lebensfreude,positive,200,right,Marktplatz,-200,left,-200,left,0.04,hole,right,x,True,0.331876993179
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,12,Belohnung,positive,-200,right,Projektor,200,right,-200,left,1,hole,right,x,True,0.355684995651
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,13,Frohsinn,positive,-200,right,Strumpf,200,right,200,right,0.04,hole,left,m,True,0.325274944305
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,14,Leid,negative,200,right,Dolmetscherin,-200,left,-200,left,0.04,hole,left,x,True,0.405089139938
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,15,Frieden,positive,-200,right,Fahrschein,200,right,200,right,0.04,hole,right,m,True,0.348654985428
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,16,Terror,negative,-200,right,Mai,200,right,200,right,0.04,hole,left,m,True,0.314999103546
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,17,Unfall,negative,-200,right,Eile,200,right,-200,left,1,hole,left,x,True,0.289211988449
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,18,Sympathie,positive,200,right,Hut,-200,left,-200,left,0.04,hole,left,x,True,0.333508014679
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,19,Glück,positive,200,right,Schrank,-200,left,200,right,1,hole,left,m,True,0.31775188446
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,20,Sucht,negative,200,right,RadiergummI,-200,left,200,right,1,hole,left,m,True,0.354209899902
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,21,Wohlbefinden,positive,200,right,Zeiger,-200,left,-200,left,0.04,hole,right,x,True,0.327159881592
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,22,Treue,positive,200,right,Park,-200,left,200,right,0.04,hole,left,m,True,0.325062990189
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,23,Schönheit,positive,200,right,Rock,-200,left,200,right,0.04,hole,right,m,True,0.374891042709
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,1,24,Hass,negative,-200,right,Pullover,200,right,200,right,0.04,hole,left,x,False,0.272772073746
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,0,Verletzung,negative,-200,right,Bank,200,right,200,right,0.04,cross,None,m,True,0.454710960388
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,1,Geisel,negative,200,right,Kellner,-200,left,200,right,0.04,cross,None,m,True,0.345178127289
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,2,Schock,negative,200,right,Bahnhof,-200,left,-200,left,0.04,cross,None,x,True,0.381916999817
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,3,Waffe,negative,200,right,Schlüssel,-200,left,200,right,0.04,cross,None,m,True,0.291743040085
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,4,Pessimismus,negative,200,right,Tisch,-200,left,200,right,1,cross,None,m,True,0.248023033142
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,5,Unglück,negative,200,right,Passant,-200,left,-200,left,1,cross,None,x,True,0.361822128296
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,6,Freundschaft,positive,-200,right,Gast,200,right,200,right,1,cross,None,m,True,0.278650999069
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,7,Liebe,positive,-200,right,Tag,200,right,200,right,1,cross,None,m,True,0.288711071014
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,8,Gesundheit,positive,200,right,Wind,-200,left,-200,left,1,cross,None,x,True,0.334686040878
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,9,Bereicherung,positive,200,right,Zug,-200,left,200,right,1,cross,None,m,True,0.325905799866
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,10,Freiheit,positive,-200,right,Markt,200,right,200,right,0.04,cross,None,m,True,0.410893201828
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,11,Zuverlässigkeit,positive,200,right,Keller,-200,left,-200,left,1,cross,None,x,True,0.341888904572
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,12,Kraft,positive,200,right,Cola,-200,left,200,right,1,cross,None,m,True,0.292734146118
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,13,Hilfsbereitschaft,positive,200,right,Juli,-200,left,-200,left,0.04,cross,None,x,True,0.338579177856
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,14,Trennung,negative,200,right,Geburtstag,-200,left,200,right,1,cross,None,m,True,0.264930963516
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,15,Anerkennung,positive,-200,right,Pass,200,right,-200,left,1,cross,None,x,True,0.348847150803
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,16,Mut,positive,200,right,Oktober,-200,left,200,right,0.04,cross,None,m,True,0.321542024612
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,17,Dummheit,negative,-200,right,Juni,200,right,200,right,1,cross,None,m,True,0.304862976074
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,18,Einsamkeit,negative,200,right,Apfel,-200,left,200,right,0.04,cross,None,m,True,0.381036996841
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,19,Tapferkeit,positive,200,right,Herr,-200,left,-200,left,1,cross,None,x,True,0.446203947067
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,20,Bombe,negative,200,right,Tee,-200,left,200,right,1,cross,None,m,True,0.350343942642
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,21,Sicherheit,positive,200,right,Einwohner,-200,left,200,right,0.04,cross,None,m,True,0.359481096268
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,22,Folter,negative,-200,right,Bankkarte,200,right,200,right,1,cross,None,m,True,0.47948217392
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,23,Erfolg,positive,200,right,Februar,-200,left,-200,left,0.04,cross,None,x,True,0.377959012985
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,2,24,Kostbarkeit,positive,-200,right,Fuß,200,right,-200,left,0.04,cross,None,x,True,0.511572122574
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,0,Attraktivität,positive,-200,right,Dusche,200,right,200,right,1,hole,left,m,True,0.313005924225
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,1,Wohlstand,positive,200,right,Hafen,-200,left,-200,left,1,hole,right,x,True,0.356204986572
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,2,Vergnügen,positive,-200,right,Kaffee,200,right,200,right,0.04,hole,left,m,True,0.438507080078
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,3,Anschlag,negative,200,right,Anruf,-200,left,200,right,1,hole,right,m,True,0.33885884285
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,4,Gefängnis,negative,200,right,Füller,-200,left,-200,left,1,hole,left,x,True,0.355443954468
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,5,Müll,negative,-200,right,Bluse,200,right,-200,left,1,hole,right,x,True,0.318007946014
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,6,Dankbarkeit,positive,200,right,Adresse,-200,left,-200,left,1,hole,left,x,True,0.379177093506
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,7,Totschlag,negative,-200,right,Brille,200,right,200,right,0.04,hole,left,m,True,0.360337972641
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,8,Heimweh,negative,200,right,Apotheke,-200,left,-200,left,1,hole,right,x,True,0.368068933487
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,9,Trauer,negative,-200,right,Baum,200,right,200,right,0.04,hole,right,m,True,0.314801931381
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,10,Rücksichtnahme,positive,200,right,Zucker,-200,left,-200,left,1,hole,left,x,True,0.286903142929
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,11,Beliebtheit,positive,-200,right,Fußboden,200,right,200,right,1,hole,left,m,True,0.286413908005
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,12,Panik,negative,-200,right,Apfelsine,200,right,-200,left,1,hole,left,x,True,0.34458899498
Hugo,31,männlich,Slytherin,das,Pulp Fiction,39,3,13,Reichtum,positive,200,right,Beschreibung,-200,left,200,right,0.04,hole,left,m,True,0.338901042938
