subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,0,Vergnügen,positive,-200,right,Markt,200,right,200,right,1,cross,None,m,True,0.330893968232
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,1,Kostbarkeit,positive,-200,right,Park,200,right,-200,left,1,cross,None,x,True,0.445348795503
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,2,Hässlichkeit,negative,200,right,Bedienung,-200,left,-200,left,1,cross,None,x,True,0.484543137252
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,3,Schrott,negative,200,right,Pullover,-200,left,200,right,1,cross,None,m,True,0.373333070427
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,4,Herzlichkeit,positive,200,right,Fuß,-200,left,-200,left,0.04,cross,None,x,True,0.550575498492
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,5,Unterstützung,positive,200,right,Tee,-200,left,200,right,0.04,cross,None,m,True,0.493088092655
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,6,Rücksichtnahme,positive,200,right,Füller,-200,left,-200,left,1,cross,None,x,True,0.392334591597
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,7,Regen,negative,200,right,Bildschirm,-200,left,200,right,0.04,cross,None,m,True,0.442068474367
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,8,Bereicherung,positive,200,right,Septmeber,-200,left,-200,left,1,cross,None,x,True,0.317692474462
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,9,Schatz,positive,200,right,Brille,-200,left,200,right,0.04,cross,None,m,True,0.393024083227
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,10,Neid,negative,-200,right,Juli,200,right,200,right,1,cross,None,m,True,0.370022719726
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,11,Gesundheit,positive,200,right,Teppich,-200,left,200,right,1,cross,None,m,True,0.638778671622
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,12,Schrei,negative,-200,right,Bus,200,right,-200,left,0.04,cross,None,x,True,0.510971412994
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,13,Mord,negative,200,right,Sessel,-200,left,200,right,1,cross,None,m,True,0.33342552837
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,14,Entspannung,positive,-200,right,Apotheke,200,right,-200,left,1,cross,None,x,True,0.414092893712
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,15,Anschlag,negative,200,right,Bahnhof,-200,left,200,right,0.04,cross,None,m,True,0.437042891048
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,16,Harmonie,positive,-200,right,Bluse,200,right,200,right,1,cross,None,miss,False,-999
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,17,Verzweiflung,negative,-200,right,Bankkarte,200,right,200,right,1,cross,None,m,True,0.329310310073
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,18,Wunde,negative,-200,right,Computer,200,right,-200,left,0.04,cross,None,x,True,0.383849299513
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,19,Eleganz,positive,-200,right,Juni,200,right,-200,left,0.04,cross,None,x,True,0.468403896317
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,20,Sucht,negative,-200,right,Balkon,200,right,-200,left,1,cross,None,x,True,0.43067783583
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,21,Dummheit,negative,-200,right,Schinken,200,right,200,right,0.04,cross,None,m,True,0.467639725655
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,22,Müll,negative,-200,right,Garten,200,right,200,right,1,cross,None,m,True,0.353273405693
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,23,Wohlbefinden,positive,-200,right,Locher,200,right,200,right,0.04,cross,None,m,True,0.488206334412
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,0,24,Waffe,negative,-200,right,Bibliothek,200,right,200,right,0.04,cross,None,m,True,0.44841021765
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,0,Angst,negative,-200,right,Februar,200,right,200,right,1,hole,right,m,True,0.416616156697
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,1,Freundschaft,positive,-200,right,Dose,200,right,200,right,0.04,hole,left,m,True,0.400400260463
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,2,Trennung,negative,-200,right,Kugelschrieber,200,right,200,right,0.04,hole,left,m,True,0.374979157932
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,3,Bewunderung,positive,200,right,April,-200,left,-200,left,1,hole,right,x,True,0.28665902745
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,4,Mut,positive,-200,right,Apfel,200,right,-200,left,1,hole,right,x,True,0.358278049156
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,5,Pessimismus,negative,-200,right,Fernseher,200,right,200,right,0.04,hole,right,m,True,0.401914771646
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,6,Solidarität,positive,-200,right,Dezember,200,right,-200,left,0.04,hole,right,x,True,0.450902660377
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,7,Spaß,positive,200,right,Kleiderhaken,-200,left,200,right,1,hole,left,m,True,0.359208961017
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,8,Freiheit,positive,200,right,Dolmetscherin,-200,left,200,right,1,hole,left,m,True,0.371653001755
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,9,Einsamkeit,negative,200,right,Schlüssel,-200,left,-200,left,0.04,hole,left,x,True,0.357636762783
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,10,Schock,negative,200,right,Hut,-200,left,-200,left,0.04,hole,right,x,True,0.527486022562
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,11,Treue,positive,200,right,Pass,-200,left,200,right,1,hole,right,m,True,0.296857972629
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,12,Trauer,negative,-200,right,März,200,right,200,right,0.04,hole,right,m,True,0.418499713764
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,13,Horror,negative,200,right,Fahrschein,-200,left,-200,left,1,hole,left,x,True,0.267882727087
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,14,Tod,negative,-200,right,RadiergummI,200,right,-200,left,0.04,hole,left,x,True,0.462533140555
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,15,Depression,negative,-200,right,Cola,200,right,200,right,0.04,hole,right,m,True,0.405393050052
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,16,Totschlag,negative,-200,right,Hafen,200,right,200,right,1,hole,right,m,True,0.311767587438
JAAAAAN,23,männlich,Ravenclaw,die,Pulp Fiction,39,1,17,Dankbarkeit,positive,-200,right,Bestellung,200,right,200,right,1,hole,right,m,True,0.36395558808
