subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,0,Krieg,negative,200,right,Passant,-200,left,-200,left,0.04,cross,None,x,True,0.439418773167
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,1,Optimismus,positive,200,right,Oktober,-200,left,200,right,1,cross,None,m,True,0.330932690762
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,2,Attraktivität,positive,200,right,Finger,-200,left,-200,left,1,cross,None,x,True,0.366364264861
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,3,Hass,negative,-200,right,Diskette,200,right,200,right,0.04,cross,None,m,True,0.636667127721
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,4,Übelkeit,negative,200,right,Wind,-200,left,-200,left,0.04,cross,None,x,True,0.572382796556
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,5,Schleim,negative,-200,right,Cola,200,right,200,right,0.04,cross,None,m,True,0.459586305544
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,6,Dummheit,negative,-200,right,Park,200,right,200,right,0.04,cross,None,m,True,0.545642768033
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,7,Schatz,positive,200,right,Juli,-200,left,200,right,0.04,cross,None,m,True,0.542684474029
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,8,Tapferkeit,positive,200,right,Herr,-200,left,200,right,0.04,cross,None,m,True,0.396701107733
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,9,Armut,negative,-200,right,Eintrittskarte,200,right,-200,left,1,cross,None,x,True,0.336580200121
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,10,Wut,negative,-200,right,Bedienung,200,right,-200,left,0.04,cross,None,x,True,0.454174684361
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,11,Gesundheit,positive,-200,right,Projektor,200,right,-200,left,1,cross,None,x,True,0.42126044631
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,12,Sympathie,positive,-200,right,Februar,200,right,-200,left,1,cross,None,x,True,0.428420095704
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,13,Sicherheit,positive,200,right,Dusche,-200,left,200,right,1,cross,None,m,True,0.334468261339
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,14,Feind,negative,200,right,Name,-200,left,200,right,0.04,cross,None,m,True,0.506263903342
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,15,Beliebtheit,positive,200,right,Fahrschein,-200,left,-200,left,0.04,cross,None,x,True,0.47232352756
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,16,Genuss,positive,200,right,Kugelschrieber,-200,left,-200,left,0.04,cross,None,x,True,0.555029733106
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,17,Zufriedenheit,positive,-200,right,Monitor,200,right,-200,left,0.04,cross,None,x,True,0.726135092787
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,18,Neid,negative,200,right,Geburtstag,-200,left,200,right,1,cross,None,m,True,0.337637157179
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,19,Eleganz,positive,-200,right,Supermarkt,200,right,-200,left,1,cross,None,x,True,0.459985380992
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,20,Glück,positive,-200,right,Dolmetscherin,200,right,200,right,1,cross,None,m,True,0.562497579493
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,21,Frohsinn,positive,200,right,RadiergummI,-200,left,-200,left,0.04,cross,None,x,True,0.499081730843
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,22,Herzlichkeit,positive,-200,right,Füller,200,right,-200,left,1,cross,None,x,True,0.304432108067
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,23,Hässlichkeit,negative,200,right,Bestellung,-200,left,200,right,0.04,cross,None,m,True,0.480114980601
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,0,24,Ehrlichkeit,positive,-200,right,Beschreibung,200,right,200,right,0.04,cross,None,m,True,0.449224173091
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,0,Sturz,negative,200,right,Baum,-200,left,-200,left,1,hole,right,x,True,0.531338088214
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,1,Freiheit,positive,-200,right,Adresse,200,right,-200,left,1,hole,left,x,True,0.42983661592
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,2,Dankbarkeit,positive,-200,right,Hut,200,right,-200,left,0.04,hole,right,x,True,0.427523164079
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,3,Waffe,negative,-200,right,Flur,200,right,-200,left,1,hole,right,x,True,0.310523737222
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,4,Anerkennung,positive,200,right,Brücke,-200,left,200,right,1,hole,left,m,True,0.317778217606
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,5,Droge,negative,200,right,Anruf,-200,left,-200,left,1,hole,right,x,True,0.321647272445
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,6,Gerechtigkeit,positive,200,right,Gast,-200,left,-200,left,0.04,hole,left,x,True,0.426936009899
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,7,Bewunderung,positive,200,right,Zuschauer,-200,left,-200,left,1,hole,right,x,True,0.401483691297
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,8,Bereicherung,positive,200,right,Kleiderhaken,-200,left,-200,left,1,hole,right,x,True,0.302276310511
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,9,Harmonie,positive,200,right,Fernseher,-200,left,-200,left,1,hole,left,x,True,0.323642254807
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,10,Einsamkeit,negative,-200,right,Fußboden,200,right,-200,left,0.04,hole,right,x,True,0.419726178981
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,11,Spaß,positive,-200,right,Dezember,200,right,200,right,1,hole,right,m,True,0.375273524784
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,12,Totschlag,negative,200,right,Decke,-200,left,200,right,1,hole,right,m,True,0.39697216358
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,13,Rücksichtnahme,positive,-200,right,Löffel,200,right,-200,left,1,hole,left,x,True,0.453353616409
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,14,Frieden,positive,-200,right,Wagen,200,right,-200,left,1,hole,right,x,True,0.407695042901
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,15,Ekel,negative,200,right,Garten,-200,left,200,right,0.04,hole,left,m,True,0.400732560083
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,16,Kostbarkeit,positive,-200,right,Dose,200,right,200,right,0.04,hole,right,m,True,0.330480272882
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,17,Wunde,negative,-200,right,Hafen,200,right,200,right,0.04,hole,left,m,True,0.344089930877
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,18,Unfall,negative,-200,right,November,200,right,200,right,0.04,hole,left,m,True,0.357833138667
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,19,Wohlbefinden,positive,200,right,Computer,-200,left,200,right,0.04,hole,right,m,True,0.341691921465
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,20,Verletzung,negative,-200,right,Mai,200,right,-200,left,1,hole,right,x,True,0.365675169043
Mr. M. Wallace,41,männlich,Slytherin,das,Der Pate,25,1,21,Geschenk,positive,200,right,Flughafen,-200,left,200,right,1,hole,left,m,True,0.304699606262
