subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,0,Müll,negative,-200,right,Bank,200,right,200,right,1,cross,None,m,True,0.354258060455
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,1,Regen,negative,-200,right,Apotheke,200,right,200,right,1,cross,None,m,True,0.312139987946
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,2,Schock,negative,200,right,Bahnhof,-200,left,200,right,0.04,cross,None,m,True,0.373960018158
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,3,Lachen,positive,200,right,Adresse,-200,left,-200,left,0.04,cross,None,m,False,0.418611049652
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,4,Schleim,negative,200,right,Finger,-200,left,-200,left,0.04,cross,None,x,True,0.396086931229
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,5,Gerechtigkeit,positive,200,right,Marktplatz,-200,left,-200,left,1,cross,None,x,True,0.314236879349
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,6,Schatz,positive,200,right,Wind,-200,left,-200,left,0.04,cross,None,x,True,0.35390496254
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,7,Schrott,negative,200,right,Drucker,-200,left,-200,left,0.04,cross,None,x,True,0.417065143585
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,8,Beliebtheit,positive,-200,right,Januar,200,right,-200,left,0.04,cross,None,x,True,0.380032062531
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,9,Droge,negative,-200,right,Hafen,200,right,200,right,0.04,cross,None,m,True,0.380365848541
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,10,Anerkennung,positive,-200,right,Supermarkt,200,right,-200,left,1,cross,None,x,True,0.267832994461
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,11,Panik,negative,-200,right,Tisch,200,right,200,right,0.04,cross,None,m,True,0.296625852585
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,12,Rücksichtnahme,positive,200,right,Platz,-200,left,200,right,0.04,cross,None,m,True,0.318154096603
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,13,Verletzung,negative,-200,right,Koch,200,right,200,right,1,cross,None,m,True,0.279009103775
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,14,Frohsinn,positive,-200,right,Pass,200,right,-200,left,0.04,cross,None,x,True,0.35874915123
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,15,Bewunderung,positive,-200,right,Teppich,200,right,-200,left,1,cross,None,x,True,0.338957071304
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,16,Vergnügen,positive,200,right,Diskette,-200,left,200,right,1,cross,None,m,True,0.295480012894
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,17,Entspannung,positive,200,right,Bildschirm,-200,left,-200,left,1,cross,None,x,True,0.336925983429
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,18,Schrei,negative,200,right,Mai,-200,left,-200,left,0.04,cross,None,x,True,0.497262001038
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,19,Mut,positive,-200,right,Projektor,200,right,-200,left,1,cross,None,x,True,0.375017881393
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,20,Verehrung,positive,-200,right,Zeiger,200,right,-200,left,0.04,cross,None,x,True,0.333616018295
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,21,Ehrlichkeit,positive,-200,right,Fernseher,200,right,200,right,1,cross,None,m,True,0.303334951401
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,22,Terror,negative,200,right,Flughafen,-200,left,200,right,1,cross,None,m,True,0.303817987442
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,23,Gesundheit,positive,200,right,Kunde,-200,left,200,right,1,cross,None,m,True,0.387629032135
Zoey,24,weiblich,Slytherin,die,Pulp Fiction,39,0,24,Gefängnis,negative,-200,right,Zug,200,right,200,right,0.04,cross,None,m,True,0.416846990585
