subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,0,Hilfsbereitschaft,positive,-200,right,Pullover,200,right,-200,left,1,cross,None,x,True,0.405206946656
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,1,Unterstützung,positive,200,right,Einwohner,-200,left,200,right,1,cross,None,m,True,0.362155007198
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,2,Liebe,positive,200,right,Diskette,-200,left,200,right,0.04,cross,None,m,True,0.379758183844
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,3,Kostbarkeit,positive,200,right,Zuschauer,-200,left,200,right,1,cross,None,m,True,0.370325384662
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,4,Hass,negative,-200,right,Teppich,200,right,200,right,0.04,cross,None,m,True,0.376185471192
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,5,Lebensfreude,positive,200,right,Gast,-200,left,200,right,0.04,cross,None,m,True,0.470649781637
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,6,Zuverlässigkeit,positive,200,right,Locher,-200,left,-200,left,0.04,cross,None,x,True,0.411886915565
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,7,Hässlichkeit,negative,200,right,Balkon,-200,left,200,right,1,cross,None,m,True,0.391677103937
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,8,Solidarität,positive,200,right,Fernseher,-200,left,-200,left,0.04,cross,None,x,True,0.476346286945
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,9,Tod,negative,-200,right,Berg,200,right,-200,left,0.04,cross,None,x,True,0.606353991665
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,10,Geisel,negative,200,right,Platz,-200,left,200,right,1,cross,None,m,True,0.3746037893
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,11,Totschlag,negative,200,right,Herr,-200,left,-200,left,1,cross,None,x,True,0.471684216522
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,12,Trauer,negative,-200,right,Oktober,200,right,-200,left,1,cross,None,x,True,0.405337732285
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,13,Folter,negative,-200,right,Kunde,200,right,-200,left,0.04,cross,None,x,True,0.403557698242
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,14,Verehrung,positive,200,right,März,-200,left,-200,left,1,cross,None,x,True,0.454267933965
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,15,Qual,negative,200,right,November,-200,left,-200,left,0.04,cross,None,x,True,0.460439773276
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,16,Reichtum,positive,200,right,Finger,-200,left,-200,left,0.04,cross,None,x,True,0.390442341566
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,17,Krankheit,negative,200,right,Bildschirm,-200,left,-200,left,0.04,cross,None,x,True,0.380670130253
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,18,Unfall,negative,200,right,Decke,-200,left,-200,left,1,cross,None,x,True,0.366933639161
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,19,Genuss,positive,-200,right,Tisch,200,right,200,right,0.04,cross,None,m,True,0.402702649124
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,20,Erfolg,positive,-200,right,Strumpf,200,right,200,right,1,cross,None,m,True,0.361024556682
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,21,Regen,negative,200,right,Schlüssel,-200,left,-200,left,1,cross,None,x,True,0.325917379931
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,22,Kraft,positive,-200,right,Bibliothek,200,right,-200,left,1,cross,None,x,True,0.388667443767
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,23,Unglück,negative,-200,right,Kugelschrieber,200,right,200,right,0.04,cross,None,m,True,0.388094513677
homer,29,weiblich,Hufflepuff,die,Der Pate,40,0,24,Sympathie,positive,-200,right,Fußboden,200,right,200,right,0.04,cross,None,m,True,0.37019420322
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,0,Mord,negative,-200,right,Januar,200,right,200,right,1,hole,right,m,True,0.428627931513
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,1,Bereicherung,positive,200,right,Name,-200,left,200,right,1,hole,left,m,True,0.354646067135
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,2,Verletzung,negative,-200,right,Wagen,200,right,200,right,1,hole,left,m,True,0.389481794089
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,3,Krieg,negative,200,right,Geburtstag,-200,left,200,right,0.04,hole,right,m,True,0.379236225039
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,4,Gerechtigkeit,positive,-200,right,Mai,200,right,200,right,0.04,hole,left,m,True,0.361880396493
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,5,Geschenk,positive,-200,right,Adresse,200,right,200,right,1,hole,left,m,True,0.355761107057
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,6,Stärke,positive,-200,right,Bedienung,200,right,-200,left,0.04,hole,right,x,True,0.42879625503
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,7,Wunde,negative,200,right,August,-200,left,200,right,1,hole,left,m,True,0.312408478931
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,8,Entspannung,positive,200,right,Februar,-200,left,200,right,1,hole,right,m,True,0.426636110991
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,9,Lachen,positive,200,right,Eintrittskarte,-200,left,200,right,1,hole,left,m,True,0.529106426984
homer,29,weiblich,Hufflepuff,die,Der Pate,40,1,10,Spaß,positive,-200,right,RadiergummI,200,right,-200,left,1,hole,left,x,True,0.441897385754
