subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,0,Unglück,negative,200,right,Berg,-200,left,200,right,0.04,cross,None,m,True,0.572433948517
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,1,Einsamkeit,negative,-200,right,Wagen,200,right,-200,left,0.04,cross,None,x,True,0.422660827637
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,2,Herzlichkeit,positive,-200,right,Supermarkt,200,right,200,right,0.04,cross,None,m,True,0.418362140656
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,3,Trennung,negative,-200,right,Kakao,200,right,-200,left,1,cross,None,x,True,0.423862934113
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,4,Reichtum,positive,-200,right,Bildschirm,200,right,200,right,0.04,cross,None,m,True,0.456899881363
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,5,Kraft,positive,-200,right,Laden,200,right,200,right,0.04,cross,None,m,True,0.419359922409
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,6,Stärke,positive,200,right,Balkon,-200,left,200,right,0.04,cross,None,m,True,0.499738931656
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,7,Qual,negative,-200,right,Fußboden,200,right,-200,left,1,cross,None,x,True,0.41863489151
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,8,Schrott,negative,-200,right,Bedienung,200,right,-200,left,1,cross,None,x,True,0.55158996582
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,9,Pessimismus,negative,200,right,Koch,-200,left,-200,left,1,cross,None,x,True,0.369997024536
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,10,Wohlbefinden,positive,200,right,Kunde,-200,left,-200,left,1,cross,None,x,True,0.416996955872
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,11,Totschlag,negative,-200,right,Gast,200,right,-200,left,0.04,cross,None,x,True,0.435153007507
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,12,Dummheit,negative,-200,right,Rock,200,right,200,right,0.04,cross,None,m,True,0.722961902618
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,13,Frohsinn,positive,-200,right,Bahnhof,200,right,200,right,0.04,cross,None,m,True,1.46363806725
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,14,Angst,negative,-200,right,November,200,right,-200,left,0.04,cross,None,x,True,0.368097066879
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,15,Wunde,negative,-200,right,Zucker,200,right,-200,left,1,cross,None,x,True,0.400573968887
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,16,Treue,positive,-200,right,Apotheke,200,right,200,right,0.04,cross,None,m,True,0.356270074844
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,17,Lachen,positive,-200,right,Brille,200,right,-200,left,0.04,cross,None,x,True,0.397738933563
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,18,Regen,negative,-200,right,Anzug,200,right,-200,left,0.04,cross,None,x,True,0.392225980759
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,19,Vergnügen,positive,200,right,Bank,-200,left,-200,left,0.04,cross,None,x,True,0.391794919968
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,20,Genuss,positive,200,right,April,-200,left,200,right,0.04,cross,None,m,True,0.420817136765
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,21,Lebensfreude,positive,-200,right,Cola,200,right,200,right,0.04,cross,None,m,True,0.667639970779
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,22,Terror,negative,-200,right,Fuß,200,right,-200,left,0.04,cross,None,x,True,0.333709955215
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,23,Tod,negative,-200,right,Tisch,200,right,-200,left,0.04,cross,None,x,True,0.376243829727
PE,25,männlich,Hufflepuff,die,Der Pate,38,0,24,Sicherheit,positive,-200,right,Fernseher,200,right,200,right,0.04,cross,None,m,True,0.350836992264
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,0,Verehrung,positive,200,right,Zeiger,-200,left,200,right,1,hole,left,m,True,0.352292060852
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,1,Sympathie,positive,-200,right,Dolmetscherin,200,right,200,right,1,hole,right,m,True,0.429286003113
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,2,Solidarität,positive,-200,right,Markt,200,right,-200,left,1,hole,right,x,True,0.311414003372
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,3,Krankheit,negative,200,right,Schinken,-200,left,-200,left,1,hole,right,x,True,0.453209877014
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,4,Dankbarkeit,positive,-200,right,Pass,200,right,-200,left,1,hole,left,x,True,0.37624502182
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,5,Müll,negative,-200,right,Herr,200,right,200,right,1,hole,right,m,True,0.31777882576
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,6,Schleim,negative,-200,right,Passant,200,right,200,right,1,hole,left,m,True,0.398249864578
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,7,Frieden,positive,200,right,Füller,-200,left,200,right,0.04,hole,right,m,True,0.373128890991
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,8,Höflichkeit,positive,200,right,Eintrittskarte,-200,left,-200,left,1,hole,right,x,True,0.399298906326
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,9,Schönheit,positive,200,right,Kaffee,-200,left,-200,left,1,hole,left,x,True,0.334479808807
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,10,Freiheit,positive,-200,right,Tag,200,right,200,right,0.04,hole,right,m,True,0.315223932266
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,11,Unterstützung,positive,-200,right,Zug,200,right,200,right,1,hole,right,m,True,0.279914855957
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,12,Rücksichtnahme,positive,200,right,Schlüssel,-200,left,-200,left,1,hole,right,x,True,0.397125005722
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,13,Waffe,negative,200,right,Bankkarte,-200,left,-200,left,0.04,hole,right,x,True,0.411763906479
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,14,Zufriedenheit,positive,-200,right,Computer,200,right,-200,left,1,hole,right,x,True,1.13168001175
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,15,Optimismus,positive,-200,right,Keller,200,right,-200,left,1,hole,left,x,True,0.349091053009
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,16,Heimweh,negative,200,right,Hut,-200,left,-200,left,0.04,hole,right,x,True,0.356065034866
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,17,Gestank,negative,-200,right,Marktplatz,200,right,200,right,1,hole,right,m,True,0.391997098923
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,18,Hilfsbereitschaft,positive,200,right,RadiergummI,-200,left,-200,left,0.04,hole,right,x,True,0.358558893204
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,19,Hass,negative,-200,right,Eile,200,right,-200,left,1,hole,left,x,True,0.33477807045
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,20,Panik,negative,-200,right,Ausweis,200,right,-200,left,0.04,hole,right,x,True,0.336048841476
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,21,Feind,negative,200,right,Dose,-200,left,200,right,1,hole,left,m,True,0.3707010746
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,22,Tapferkeit,positive,200,right,Teppich,-200,left,200,right,0.04,hole,right,m,True,0.433140993118
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,23,Bewunderung,positive,200,right,Wind,-200,left,-200,left,1,hole,left,x,True,0.334091901779
PE,25,männlich,Hufflepuff,die,Der Pate,38,1,24,Unfall,negative,200,right,Beschreibung,-200,left,-200,left,1,hole,left,x,True,0.33053612709
PE,25,männlich,Hufflepuff,die,Der Pate,38,2,0,Geisel,negative,200,right,Einwohner,-200,left,200,right,1,cross,None,m,True,0.353700876236
PE,25,männlich,Hufflepuff,die,Der Pate,38,2,1,Sturz,negative,-200,right,Septmeber,200,right,-200,left,1,cross,None,x,True,0.354257106781
