subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,0,Panik,negative,-200,right,Kleiderhaken,200,right,-200,left,1,cross,None,x,True,0.482640219852
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,1,Entspannung,positive,200,right,Ausweis,-200,left,-200,left,1,cross,None,x,True,0.346056463197
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,2,Ehrlichkeit,positive,200,right,Fahrschein,-200,left,200,right,0.04,cross,None,m,True,0.403257799335
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,3,Beliebtheit,positive,200,right,Kunde,-200,left,200,right,0.04,cross,None,m,True,0.365666870959
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,4,Eleganz,positive,200,right,Supermarkt,-200,left,-200,left,1,cross,None,x,True,0.321649642661
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,5,Kraft,positive,-200,right,Fußboden,200,right,-200,left,1,cross,None,x,True,0.310846553184
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,6,Bombe,negative,200,right,Diskette,-200,left,200,right,1,cross,None,m,True,0.281783591025
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,7,Lachen,positive,-200,right,Bus,200,right,-200,left,0.04,cross,None,x,True,0.369160952978
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,8,Horror,negative,-200,right,Fuß,200,right,-200,left,0.04,cross,None,x,True,0.313382460736
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,9,Gestank,negative,-200,right,Bildschirm,200,right,200,right,1,cross,None,m,True,0.317143252119
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,10,Frohsinn,positive,200,right,Geburtstag,-200,left,-200,left,1,cross,None,x,True,0.343392536044
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,11,Glück,positive,-200,right,Dezember,200,right,-200,left,1,cross,None,x,True,0.428015489131
phantom,23,weiblich,Hufflepuff,die,Pulp Fiction,39,0,12,Wohlbefinden,positive,200,right,August,-200,left,-200,left,1,cross,None,x,True,0.33053242974
