subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,0,Feind,negative,-200,right,Wind,200,right,200,right,0.04,cross,None,m,True,0.382452931255
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,1,Liebe,positive,-200,right,Supermarkt,200,right,200,right,0.04,cross,None,m,True,0.428111504763
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,2,Sympathie,positive,200,right,Eile,-200,left,-200,left,1,cross,None,x,True,0.354375012219
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,3,Heimweh,negative,200,right,Juli,-200,left,-200,left,1,cross,None,x,True,0.289714127779
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,4,Leid,negative,-200,right,Strumpf,200,right,-200,left,1,cross,None,x,True,0.36287334282
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,5,Rücksichtnahme,positive,200,right,Bluse,-200,left,-200,left,1,cross,None,x,True,0.368686014786
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,6,Treue,positive,200,right,Apotheke,-200,left,200,right,1,cross,None,m,True,0.326266669668
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,7,Reichtum,positive,-200,right,Hafen,200,right,-200,left,0.04,cross,None,x,True,0.366478061303
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,8,Frohsinn,positive,200,right,Rock,-200,left,200,right,1,cross,None,m,True,0.360063615255
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,9,Spaß,positive,200,right,Finger,-200,left,-200,left,1,cross,None,x,True,0.29220775608
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,10,Freundschaft,positive,-200,right,Oktober,200,right,200,right,0.04,cross,None,m,True,0.362856352702
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,11,Tapferkeit,positive,-200,right,Fernseher,200,right,-200,left,1,cross,None,x,True,0.345047316514
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,12,Geschenk,positive,-200,right,Dienstag,200,right,200,right,1,cross,None,m,True,0.437562873587
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,13,Krankheit,negative,200,right,November,-200,left,-200,left,1,cross,None,x,True,0.371732421219
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,14,Freiheit,positive,-200,right,Hut,200,right,200,right,0.04,cross,None,m,True,0.316791196354
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,15,Gesundheit,positive,200,right,Flur,-200,left,-200,left,0.04,cross,None,x,True,0.285687417723
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,16,Müll,negative,-200,right,Füller,200,right,200,right,0.04,cross,None,m,True,0.34790011216
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,17,Wunde,negative,-200,right,Teppich,200,right,-200,left,1,cross,None,x,True,0.295403125696
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,18,Horror,negative,-200,right,Januar,200,right,200,right,1,cross,None,m,True,0.314953869209
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,19,Bereicherung,positive,200,right,Garten,-200,left,-200,left,0.04,cross,None,x,True,0.296462453902
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,20,Entspannung,positive,-200,right,Bedienung,200,right,-200,left,1,cross,None,x,True,0.321787541732
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,21,Wohlbefinden,positive,-200,right,Geburtstag,200,right,200,right,0.04,cross,None,m,True,0.399148901924
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,22,Totschlag,negative,200,right,Apfel,-200,left,200,right,1,cross,None,m,True,0.377456585877
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,23,Lebensfreude,positive,200,right,Schrank,-200,left,-200,left,1,cross,None,x,True,0.435512179509
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,0,24,Kraft,positive,200,right,Stuhl,-200,left,-200,left,1,cross,None,x,True,0.317788490094
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,0,Schönheit,positive,-200,right,Zug,200,right,-200,left,1,hole,left,x,True,0.318650650792
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,1,Droge,negative,-200,right,August,200,right,200,right,0.04,hole,right,m,True,0.34018689394
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,2,Zuverlässigkeit,positive,-200,right,Septmeber,200,right,200,right,1,hole,right,m,True,0.375157358125
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,3,Depression,negative,200,right,Brille,-200,left,-200,left,1,hole,right,x,True,0.425436513498
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,4,Dankbarkeit,positive,-200,right,Kaffee,200,right,-200,left,1,hole,right,x,True,0.412593397312
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,5,Hass,negative,200,right,Zeiger,-200,left,200,right,0.04,hole,left,m,True,0.402984373271
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,6,Tod,negative,-200,right,Kugelschrieber,200,right,200,right,1,hole,right,m,True,0.349032932892
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,7,Wohlstand,positive,200,right,Computer,-200,left,-200,left,1,hole,right,x,True,0.476131338626
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,8,Hilfsbereitschaft,positive,200,right,Wagen,-200,left,200,right,0.04,hole,left,m,True,0.472264258191
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,9,Sturz,negative,200,right,Anzug,-200,left,200,right,1,hole,left,m,True,0.465531343594
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,10,Qual,negative,200,right,Beschreibung,-200,left,-200,left,0.04,hole,left,x,True,0.462279470637
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,11,Vergnügen,positive,-200,right,Locher,200,right,200,right,0.04,hole,right,m,True,0.460492325015
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,12,Wut,negative,200,right,Berg,-200,left,-200,left,1,hole,right,x,True,0.331308453344
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,13,Zufriedenheit,positive,200,right,Adresse,-200,left,-200,left,0.04,hole,right,x,True,0.677037754096
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,14,Leidenschaft,positive,-200,right,Tee,200,right,-200,left,0.04,hole,right,x,True,0.582427642308
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,15,Glück,positive,200,right,Tisch,-200,left,-200,left,0.04,hole,left,x,True,0.456365252845
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,16,Kostbarkeit,positive,-200,right,Bahnhof,200,right,200,right,0.04,hole,right,m,True,0.391107335687
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,17,Sicherheit,positive,200,right,März,-200,left,-200,left,1,hole,left,x,True,0.343933857046
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,18,Übelkeit,negative,-200,right,Ausweis,200,right,-200,left,0.04,hole,left,x,True,0.364159076475
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,19,Lachen,positive,200,right,Pass,-200,left,-200,left,1,hole,left,x,True,0.41378074605
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,20,Mord,negative,-200,right,Projektor,200,right,200,right,0.04,hole,right,m,True,0.381028903648
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,21,Sucht,negative,200,right,Schinken,-200,left,200,right,1,hole,left,m,True,0.345079716295
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,22,Schatz,positive,-200,right,Koch,200,right,200,right,1,hole,left,m,True,0.374643696472
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,23,Optimismus,positive,-200,right,Name,200,right,-200,left,1,hole,right,x,True,0.367559515871
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,1,24,Höflichkeit,positive,200,right,Anruf,-200,left,200,right,0.04,hole,right,m,True,0.443817294203
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,0,Pessimismus,negative,-200,right,Apfelsine,200,right,200,right,0.04,cross,None,m,True,0.339637275785
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,1,Neid,negative,200,right,Löffel,-200,left,200,right,1,cross,None,m,True,0.309053479694
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,2,Schock,negative,-200,right,Fahrschein,200,right,200,right,1,cross,None,m,True,0.31853685528
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,3,Dummheit,negative,-200,right,Dolmetscherin,200,right,200,right,0.04,cross,None,m,True,0.343047591858
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,4,Rache,negative,200,right,Februar,-200,left,200,right,1,cross,None,m,True,0.316829917952
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,5,Harmonie,positive,200,right,Keller,-200,left,200,right,1,cross,None,x,False,0.331798803061
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,6,Panik,negative,-200,right,Laden,200,right,200,right,0.04,cross,None,m,True,0.338707153685
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,7,Frieden,positive,-200,right,Fuß,200,right,-200,left,0.04,cross,None,x,True,0.412225537002
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,8,Beliebtheit,positive,200,right,Brücke,-200,left,-200,left,1,cross,None,x,True,0.337255071849
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,9,Anerkennung,positive,-200,right,Bestellung,200,right,-200,left,1,cross,None,x,True,0.332182468846
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,10,Gefängnis,negative,200,right,Eintrittskarte,-200,left,-200,left,1,cross,None,x,True,0.39975502342
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,11,Bewunderung,positive,200,right,Park,-200,left,200,right,0.04,cross,None,m,True,0.335537862033
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,12,Einsamkeit,negative,200,right,Juni,-200,left,200,right,0.04,cross,None,m,True,0.383253452368
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,13,Waffe,negative,-200,right,Dezember,200,right,-200,left,1,cross,None,x,True,0.294523183256
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,14,Koma,negative,-200,right,Sessel,200,right,-200,left,1,cross,None,x,True,0.387421222404
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,15,Regen,negative,-200,right,Herr,200,right,-200,left,0.04,cross,None,x,True,0.4342995435
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,16,Erfolg,positive,-200,right,Diskette,200,right,-200,left,1,cross,None,x,True,0.376508287154
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,17,Terror,negative,200,right,Marktplatz,-200,left,200,right,1,cross,None,m,True,0.397803504951
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,18,Stärke,positive,-200,right,Markt,200,right,-200,left,0.04,cross,None,x,True,0.348372681066
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,19,Mut,positive,200,right,Gast,-200,left,200,right,0.04,cross,None,m,True,0.406062390655
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,20,Belohnung,positive,-200,right,Kellner,200,right,200,right,0.04,cross,None,m,True,0.381787937135
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,21,Armut,negative,-200,right,Decke,200,right,200,right,1,cross,None,m,True,0.339273367077
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,22,Krieg,negative,200,right,Kakao,-200,left,-200,left,1,cross,None,x,True,0.411321097054
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,23,Schrei,negative,-200,right,Einwohner,200,right,200,right,0.04,cross,None,m,True,0.373320820741
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,2,24,Trauer,negative,200,right,Passant,-200,left,200,right,1,cross,None,m,True,0.322501925752
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,0,Ehrlichkeit,positive,-200,right,April,200,right,-200,left,0.04,hole,left,x,True,0.357976568863
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,1,Genuss,positive,200,right,Monitor,-200,left,200,right,0.04,hole,right,m,True,0.357997115701
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,2,Verehrung,positive,-200,right,Balkon,200,right,200,right,0.04,hole,left,m,True,0.380277772434
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,3,Herzlichkeit,positive,-200,right,Zuschauer,200,right,200,right,0.04,hole,right,m,True,0.35594523605
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,4,Eleganz,positive,200,right,Baum,-200,left,-200,left,0.04,hole,right,x,True,0.382208744064
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,5,Folter,negative,-200,right,Bank,200,right,-200,left,0.04,hole,left,x,True,0.597334887832
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,6,Anschlag,negative,200,right,Dusche,-200,left,-200,left,0.04,hole,left,x,True,0.412943872623
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,7,Schmerz,negative,-200,right,Bildschirm,200,right,-200,left,1,hole,left,x,True,0.361485666595
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,8,Solidarität,positive,-200,right,Platz,200,right,200,right,0.04,hole,right,m,True,0.351742695086
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,9,Unglück,negative,200,right,Bus,-200,left,-200,left,1,hole,left,x,True,0.296615365893
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,10,Unfall,negative,200,right,Kleiderhaken,-200,left,200,right,1,hole,left,m,True,0.383226583712
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,11,Schrott,negative,-200,right,Schlüssel,200,right,-200,left,0.04,hole,left,x,True,0.366279313341
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,12,Attraktivität,positive,-200,right,Fußboden,200,right,200,right,0.04,hole,right,m,True,0.42096015159
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,13,Angst,negative,200,right,Pullover,-200,left,-200,left,0.04,hole,right,x,True,0.291220735759
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,14,Gerechtigkeit,positive,200,right,Dose,-200,left,-200,left,0.04,hole,left,x,True,0.378491416574
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,15,Unterstützung,positive,-200,right,Flughafen,200,right,200,right,1,hole,left,m,True,0.404040539637
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,16,Ekel,negative,200,right,RadiergummI,-200,left,200,right,0.04,hole,left,m,True,0.329172412865
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,17,Schleim,negative,200,right,Cola,-200,left,200,right,1,hole,right,m,True,0.312218029983
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,18,Verletzung,negative,-200,right,Zucker,200,right,-200,left,1,hole,left,x,True,0.317490961403
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,19,Trennung,negative,-200,right,Mai,200,right,200,right,0.04,hole,left,m,True,0.346787442453
troll,28,männlich,Hufflepuff,die,Pulp Fiction,34,3,20,Geisel,negative,-200,right,Tag,200,right,-200,left,1,hole,left,x,True,0.303115949035
