subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,0,Gefängnis,negative,-200,right,Fußboden,200,right,-200,left,0.04,cross,None,miss,False,-999
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,1,Panik,negative,-200,right,Ausweis,200,right,200,right,0.04,cross,None,m,True,1.32886935212
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,2,Glück,positive,200,right,Keller,-200,left,200,right,0.04,cross,None,m,True,0.572772389278
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,3,Treue,positive,-200,right,Apotheke,200,right,-200,left,0.04,cross,None,x,True,0.486401407048
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,4,Erfolg,positive,-200,right,Fuß,200,right,200,right,0.04,cross,None,m,True,0.361375031993
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,5,Tod,negative,-200,right,Herr,200,right,-200,left,0.04,cross,None,x,True,0.363220657222
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,6,Schatz,positive,200,right,August,-200,left,-200,left,1,cross,None,x,True,0.462185432203
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,7,Koma,negative,200,right,März,-200,left,200,right,1,cross,None,m,True,0.506625836715
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,8,Anerkennung,positive,-200,right,Zucker,200,right,200,right,1,cross,None,m,True,0.514763419516
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,9,Dankbarkeit,positive,200,right,Kakao,-200,left,200,right,0.04,cross,None,m,True,0.500740857795
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,10,Lachen,positive,200,right,Kleiderhaken,-200,left,-200,left,0.04,cross,None,x,True,0.414303099737
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,11,Neid,negative,-200,right,Januar,200,right,200,right,1,cross,None,m,True,0.524089140818
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,12,Unterstützung,positive,200,right,Kaffee,-200,left,-200,left,0.04,cross,None,x,True,0.466659028083
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,13,Armut,negative,200,right,Finger,-200,left,-200,left,0.04,cross,None,x,True,0.388121777214
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,14,Ehrlichkeit,positive,-200,right,Name,200,right,200,right,1,cross,None,m,True,0.342986743897
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,15,Heimweh,negative,200,right,Brille,-200,left,200,right,1,cross,None,m,True,0.422076378018
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,16,Freiheit,positive,200,right,Anruf,-200,left,-200,left,1,cross,None,x,True,0.370388208888
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,17,Optimismus,positive,200,right,Fahrschein,-200,left,200,right,0.04,cross,None,m,True,0.456035324372
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,18,Kraft,positive,-200,right,Koch,200,right,-200,left,1,cross,None,x,True,0.412528201938
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,19,Wunde,negative,-200,right,Eintrittskarte,200,right,200,right,0.04,cross,None,m,True,0.42818499729
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,20,Frohsinn,positive,200,right,Baum,-200,left,-200,left,0.04,cross,None,x,True,0.443452594802
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,21,Zuverlässigkeit,positive,200,right,Mai,-200,left,-200,left,0.04,cross,None,x,True,0.388630696572
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,22,Vergnügen,positive,200,right,Dolmetscherin,-200,left,200,right,1,cross,None,m,True,0.394891834818
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,23,Reichtum,positive,200,right,Februar,-200,left,-200,left,0.04,cross,None,x,True,0.444578303024
walter,22,weiblich,Hufflepuff,die,Der Pate,37,0,24,Tapferkeit,positive,200,right,Drucker,-200,left,200,right,0.04,cross,None,m,True,0.378346010111
walter,22,weiblich,Hufflepuff,die,Der Pate,37,1,0,Hässlichkeit,negative,200,right,Bestellung,-200,left,200,right,0.04,hole,left,m,True,0.481198806316
